ticker,price,pe,pb,roe,market_cap,sector,name,mom_12_2,error,market,gics_sector,value_pct,momentum_pct,score
MT.AS,63.459999084472656,30.805826,0.99608237,0.03284,47851487232.0,Basic Materials,ARCELORMITTAL SA,1.1634162399878032,,Euronext 100,"n/a (Amsterdam, Paris)",0.9837067209775967,0.9735234215885947,0.9786150712830957
GM,86.94000244140625,39.880733,1.2297726,0.03164,78633017344.0,Consumer Cyclical,General Motors Company,0.5305167514992997,,S&P 500,Consumer Discretionary,0.9511201629327902,0.8839103869653768,0.9175152749490836
ENI.MI,23.270000457763672,12.119792,1.4742777,0.10901,67309441024.0,Energy,ENI,0.6649677208235616,,Euronext 100,n/a (Milan),0.9063136456211812,0.924643584521385,0.915478615071283
NN.AS,80.76000213623047,19.366907,1.0053405,0.05593,21000699904.0,Financial Services,NN GROUP,0.4345726444310405,,Euronext 100,n/a (Amsterdam),0.9796334012219959,0.8492871690427699,0.9144602851323829
BIRG.IR,18.799999237060547,13.925925,1.361924,0.10549,17728399360.0,Financial Services,BANK OF IRELAND GROUP PLC,0.49698700502135584,,Euronext 100,n/a (Dublin),0.9287169042769857,0.8757637474541752,0.9022403258655805
CFG,72.43000030517578,16.024336,1.271795,0.08270001,30505836544.0,Financial Services,"Citizens Financial Group, Inc.",0.41173387189210997,,S&P 500,Financials,0.9490835030549898,0.8289205702647657,0.8890020366598778
CA.PA,15.795000076293945,12.150001,1.0099105,0.08428001,11154958336.0,Consumer Defensive,CARREFOUR,0.384211134986163,,Euronext 100,n/a (Paris),0.9755600814663952,0.8004073319755601,0.8879837067209777
DD,144.0500030517578,63.179825,1.4017283,0.01792,19449546752.0,Basic Materials,"DuPont de Nemours, Inc.",0.4375570199778469,,S&P 500,Materials,0.9226069246435845,0.8533604887983707,0.8879837067209776
C,133.82000732421875,14.83592,1.1662891,0.08529,224469696512.0,Financial Services,"Citigroup, Inc.",0.3934740306888038,,S&P 500,Financials,0.955193482688391,0.8167006109979633,0.8859470468431772
A5G.IR,10.885000228881836,11.338542,1.6161841,0.15133001,22794278912.0,Financial Services,AIB GROUP PLC,0.5552733901972544,,Euronext 100,n/a (Dublin),0.8676171079429735,0.8961303462321792,0.8818737270875764
CVS,96.22000122070312,26.146738,1.5428525,0.06205,123062534144.0,Healthcare,CVS Health Corporation,0.4729267101117405,,S&P 500,Health Care,0.8879837067209776,0.869653767820774,0.8788187372708758
BIIB,206.27999877929688,36.770054,1.6164877,0.04575,30478694400.0,Healthcare,Biogen Inc.,0.534941726475072,,S&P 500,Health Care,0.8655804480651731,0.8859470468431772,0.8757637474541751
ACA.PA,19.399999618530273,9.60396,0.74181706,0.08612,58694410240.0,Financial Services,CREDIT AGRICOLE,0.3185927079278916,,Euronext 100,n/a (Paris),0.9938900203665988,0.7535641547861507,0.8737270875763747
FANG,189.6300048828125,35.444862,1.4038037,0.034930002,53345443840.0,Energy,"Diamondback Energy, Inc.",0.38948730801029385,,S&P 500,Energy,0.9205702647657841,0.8085539714867617,0.8645621181262728
BEN,34.0,23.776224,1.470016,0.07887,17274613760.0,Financial Services,"Franklin Resources, Inc.",0.3898723509666493,,S&P 500,Financials,0.9083503054989817,0.8105906313645621,0.8594704684317719
INGA.AS,30.549999237060547,13.225108,1.7387593,0.17124,87321346048.0,Financial Services,ING GROEP N.V.,0.5510342899938325,,Euronext 100,n/a (Amsterdam),0.824847250509165,0.8920570264765784,0.8584521384928716
EDPR.LS,13.199999809265137,62.857143,1.3481768,0.038340002,13988026368.0,Utilities,"EDP RENEWABLES, SA",0.3510614715449678,,Euronext 100,n/a (Lisbon),0.9307535641547862,0.7759674134419552,0.8533604887983707
EN.PA,48.709999084472656,14.896025,1.4991843,0.09711,18799980544.0,Industrials,BOUYGUES,0.3872208007459783,,Euronext 100,n/a (Paris),0.8961303462321792,0.8065173116089613,0.8513238289205702
HAVAS.AS,19.299999237060547,9.796954,1.0270327,0.12168,1886376064.0,Communication Services,HAVAS,0.30049458830508,,Euronext 100,n/a (Paris),0.9735234215885947,0.7209775967413442,0.8472505091649695
EIX,67.2300033569336,7.054565,1.4828295,0.19734,25871044608.0,Utilities,Edison International,0.37918046581700837,,S&P 500,Utilities,0.90020366598778,0.7942973523421588,0.8472505091649694
DVN,43.11000061035156,11.714674,0.9675899,0.11522,47421001728.0,Energy,Devon Energy Corporation,0.2826073970317118,,S&P 500,Energy,0.9877800407331976,0.6945010183299389,0.8411405295315683
ENGI.PA,26.469999313354492,16.239264,1.9731643,0.12218001,67258531840.0,Utilities,ENGIE,0.6098456520077131,,Euronext 100,n/a (Paris),0.7678207739307535,0.9042769857433809,0.8360488798370672
APA,36.529998779296875,8.081859,2.116209,0.26217,12912267264.0,Energy,APA Corporation,0.6632909948355459,,S&P 500,Energy,0.7331975560081466,0.9226069246435845,0.8279022403258656
AKRBP.OL,330.29998779296875,15.441795,1.8738217,0.12066,208663134208.0,Energy,AKER BP,0.43467328412343753,,Euronext 100,n/a (Oslo),0.7942973523421588,0.8513238289205702,0.8228105906313645
STT,184.9199981689453,16.495985,2.1253216,0.12437,50797850624.0,Financial Services,State Street Corporation,0.643055810907496,,S&P 500,Financials,0.7270875763747454,0.9164969450101833,0.8217922606924644
BG,109.0,22.99578,1.3125888,0.071779996,20940984320.0,Consumer Defensive,Bunge Limited,0.28558772715118685,,S&P 500,Consumer Staples,0.9389002036659878,0.6985743380855397,0.8187372708757638
USB,63.810001373291016,12.813253,1.6398963,0.12623,99398860800.0,Financial Services,U.S. Bancorp,0.34183080529704024,,S&P 500,Financials,0.8574338085539714,0.7718940936863544,0.814663951120163
NHY.OL,89.83999633789062,18.076458,1.7221285,0.09432,176715284480.0,Basic Materials,NORSK HYDRO,0.3680680108790717,,Euronext 100,n/a (Oslo),0.8391038696537678,0.7820773930753564,0.8105906313645621
