ticker,name,market,gics_sector,price,pb,pe,roe,mom_12_2,value_pct,momentum_pct,score
MT.AS,ARCELORMITTAL SA,Euronext 100,"n/a (Amsterdam, Paris)",63.459999084472656,0.99608237,30.805826,0.03284,1.1634162399878032,0.9837067209775967,0.9735234215885947,0.9786150712830957
GM,General Motors Company,S&P 500,Consumer Discretionary,86.94000244140625,1.2297726,39.880733,0.03164,0.5305167514992997,0.9511201629327902,0.8839103869653768,0.9175152749490836
ENI.MI,ENI,Euronext 100,n/a (Milan),23.270000457763672,1.4742777,12.119792,0.10901,0.6649677208235616,0.9063136456211812,0.924643584521385,0.915478615071283
NN.AS,NN GROUP,Euronext 100,n/a (Amsterdam),80.76000213623047,1.0053405,19.366907,0.05593,0.4345726444310405,0.9796334012219959,0.8492871690427699,0.9144602851323829
BIRG.IR,BANK OF IRELAND GROUP PLC,Euronext 100,n/a (Dublin),18.799999237060547,1.361924,13.925925,0.10549,0.49698700502135584,0.9287169042769857,0.8757637474541752,0.9022403258655805
CFG,"Citizens Financial Group, Inc.",S&P 500,Financials,72.43000030517578,1.271795,16.024336,0.08270001,0.41173387189210997,0.9490835030549898,0.8289205702647657,0.8890020366598778
CA.PA,CARREFOUR,Euronext 100,n/a (Paris),15.795000076293945,1.0099105,12.150001,0.08428001,0.384211134986163,0.9755600814663952,0.8004073319755601,0.8879837067209777
DD,"DuPont de Nemours, Inc.",S&P 500,Materials,144.0500030517578,1.4017283,63.179825,0.01792,0.4375570199778469,0.9226069246435845,0.8533604887983707,0.8879837067209776
C,"Citigroup, Inc.",S&P 500,Financials,133.82000732421875,1.1662891,14.83592,0.08529,0.3934740306888038,0.955193482688391,0.8167006109979633,0.8859470468431772
A5G.IR,AIB GROUP PLC,Euronext 100,n/a (Dublin),10.885000228881836,1.6161841,11.338542,0.15133001,0.5552733901972544,0.8676171079429735,0.8961303462321792,0.8818737270875764
CVS,CVS Health Corporation,S&P 500,Health Care,96.22000122070312,1.5428525,26.146738,0.06205,0.4729267101117405,0.8879837067209776,0.869653767820774,0.8788187372708758
BIIB,Biogen Inc.,S&P 500,Health Care,206.27999877929688,1.6164877,36.770054,0.04575,0.534941726475072,0.8655804480651731,0.8859470468431772,0.8757637474541751
ACA.PA,CREDIT AGRICOLE,Euronext 100,n/a (Paris),19.399999618530273,0.74181706,9.60396,0.08612,0.3185927079278916,0.9938900203665988,0.7535641547861507,0.8737270875763747
FANG,"Diamondback Energy, Inc.",S&P 500,Energy,189.6300048828125,1.4038037,35.444862,0.034930002,0.38948730801029385,0.9205702647657841,0.8085539714867617,0.8645621181262728
BEN,"Franklin Resources, Inc.",S&P 500,Financials,34.0,1.470016,23.776224,0.07887,0.3898723509666493,0.9083503054989817,0.8105906313645621,0.8594704684317719
INGA.AS,ING GROEP N.V.,Euronext 100,n/a (Amsterdam),30.549999237060547,1.7387593,13.225108,0.17124,0.5510342899938325,0.824847250509165,0.8920570264765784,0.8584521384928716
EDPR.LS,"EDP RENEWABLES, SA",Euronext 100,n/a (Lisbon),13.199999809265137,1.3481768,62.857143,0.038340002,0.3510614715449678,0.9307535641547862,0.7759674134419552,0.8533604887983707
EN.PA,BOUYGUES,Euronext 100,n/a (Paris),48.709999084472656,1.4991843,14.896025,0.09711,0.3872208007459783,0.8961303462321792,0.8065173116089613,0.8513238289205702
HAVAS.AS,HAVAS,Euronext 100,n/a (Paris),19.299999237060547,1.0270327,9.796954,0.12168,0.30049458830508,0.9735234215885947,0.7209775967413442,0.8472505091649695
EIX,Edison International,S&P 500,Utilities,67.2300033569336,1.4828295,7.054565,0.19734,0.37918046581700837,0.90020366598778,0.7942973523421588,0.8472505091649694
DVN,Devon Energy Corporation,S&P 500,Energy,43.11000061035156,0.9675899,11.714674,0.11522,0.2826073970317118,0.9877800407331976,0.6945010183299389,0.8411405295315683
ENGI.PA,ENGIE,Euronext 100,n/a (Paris),26.469999313354492,1.9731643,16.239264,0.12218001,0.6098456520077131,0.7678207739307535,0.9042769857433809,0.8360488798370672
APA,APA Corporation,S&P 500,Energy,36.529998779296875,2.116209,8.081859,0.26217,0.6632909948355459,0.7331975560081466,0.9226069246435845,0.8279022403258656
AKRBP.OL,AKER BP,Euronext 100,n/a (Oslo),330.29998779296875,1.8738217,15.441795,0.12066,0.43467328412343753,0.7942973523421588,0.8513238289205702,0.8228105906313645
STT,State Street Corporation,S&P 500,Financials,184.9199981689453,2.1253216,16.495985,0.12437,0.643055810907496,0.7270875763747454,0.9164969450101833,0.8217922606924644
BG,Bunge Limited,S&P 500,Consumer Staples,109.0,1.3125888,22.99578,0.071779996,0.28558772715118685,0.9389002036659878,0.6985743380855397,0.8187372708757638
USB,U.S. Bancorp,S&P 500,Financials,63.810001373291016,1.6398963,12.813253,0.12623,0.34183080529704024,0.8574338085539714,0.7718940936863544,0.814663951120163
NHY.OL,NORSK HYDRO,Euronext 100,n/a (Oslo),89.83999633789062,1.7221285,18.076458,0.09432,0.3680680108790717,0.8391038696537678,0.7820773930753564,0.8105906313645621
PFG,Principal Financial Group Inc,S&P 500,Financials,115.41000366210938,2.039983,16.370213,0.12949,0.4641452614550372,0.7494908350305499,0.8635437881873728,0.8065173116089613
EQNR.OL,EQUINOR,Euronext 100,n/a (Oslo),373.0,2.2073224,10.596422,0.21270001,0.6212871913106093,0.6985743380855397,0.9124236252545825,0.8054989816700611
