ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
1893.T,2026-09-22,1582.0,Industrials,Engineering & Construction,"Penta-Ocean Construction Co., Ltd.",12.594539,2.2310255,125.61,0.19128,0.0435,127.205,427661492224.0,1.88,0.2706593876429664,,JPY,1964564.0,Japan,1400.0,2116.6667,2500.0,strong_buy,6.0,,49592000512.0,244885995520.0,1.138,0.06099,JPY,-4106000000.0,-8390666666.666667,21.189800499999997,17.885448,87,17.885448,0.7090643274853801,0.19736842105263158,0.8230994152046783,0.9480994152046783,16.957182789473684,2129.9917301857895,0.34639173842338145,0.11879627642870236,2.37770425,0.33796883691529733,"P/E de 12.6 nettement sous la mediane de l'industrie (17.9) ; momentum (+27%) superieur au secteur (+12%) ; cible analystes (6 analystes, moyenne 2116.67) +34% au-dessus du prix actuel",True
AMAT,2026-09-21,466.489990234375,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc.",40.214653,14.44644,11.6,0.41068,0.30052,28.666,370205261824.0,0.88,1.2512716730733993,,USD,8662120.0,United States,358.0,640.8857,900.0,strong_buy,35.0,3075375104.0,9233000448.0,7345999872.0,1.634,0.33736,USD,-3635666666.6666665,-1183666666.6666667,23.875067,41.355137,39,41.355137,0.8944543828264758,0.8980322003577818,0.49731663685152055,1.2974060822898033,53.654406277728086,622.3911128216457,0.33420035981681506,0.1768172085560135,3.141345,0.37384662783011646,ROE (41%) dans le haut du secteur ; marge superieure a la mediane du secteur ; momentum (+125%) superieur au secteur (+18%),True
LAUR,2026-09-22,36.60499954223633,Consumer Defensive,Education & Training Services,"Laureate Education, Inc.",16.563349,4.417692,2.21,0.29318002,0.1757,64.3,5042315264.0,1.01,0.1899174917531665,,USD,1069114.0,United States,34.5,41.21429,45.0,buy,7.0,343739264.0,161674000.0,733992000.0,0.633,0.36278,USD,-105745000.0,-38215666.66666666,18.638887,16.7943585,14,16.7943585,0.8967136150234741,0.9154929577464789,0.5164319248826291,1.2981220657276995,21.80112734859155,48.18049144038732,0.31622707397645833,0.026812733382789,1.9859585,0.1259196971835852,ROE (29%) dans le haut du secteur ; marge superieure a la mediane du secteur ; momentum (+19%) superieur au secteur (+3%),True
1878.T,2026-09-18,3377.0,Real Estate,Real Estate - Diversified,"Daito Trust Construction Co.,Ltd.",11.300362,2.2261806,298.84,0.20658001,0.049629997,60.69,1099997904896.0,1.12,0.0495361118530111,,JPY,1577511.0,Japan,3200.0,3415.0,3700.0,none,8.0,-35196502016.0,251284996096.0,300824985600.0,0.809,0.08203,JPY,-25729333333.33333,-41773333333.333336,15.97848775,13.003122000000001,14,13.003122000000001,0.8956043956043956,0.06593406593406594,0.3021978021978022,1.1387362637362637,14.807126563186815,4424.9617021427475,0.31032327573075147,0.03868564863451095,1.1436104500000002,0.011252591057151262,ROE (21%) dans le haut du secteur ; dette plus faible que la mediane du secteur ; momentum (+5%) superieur au secteur (+4%),True
NDX1.DE,2026-09-17,39.400001525878906,Industrials,Specialty Industrial Machinery,Nordex SE,24.024391,6.42531,1.64,0.32355,0.050029997,34.446,9332760576.0,1.5,0.7311927981312882,,EUR,529656.0,Germany,35.0,49.30667,60.0,buy,15.0,450561632.0,1970612992.0,502319008.0,0.898,0.08517,EUR,0.0,0.0,21.189800499999997,26.492352500000003,96,26.492352500000003,0.8888888888888888,0.25,0.31432748538011696,1.1783625730994152,31.217596659356726,51.19685852134503,0.29941260250250634,0.11879627642870236,2.37770425,0.25143827640753114,ROE (32%) dans le haut du secteur ; dette plus faible que la mediane du secteur ; momentum (+73%) superieur au secteur (+12%),True
UCG.MI,2026-09-18,81.41999816894531,Financial Services,Banks - Regional,UniCredit S.p.A.,11.548936,1.7323035,7.05,0.15779,0.43967998,,122777534464.0,0.84,0.368237260254632,,EUR,4295485.0,Italy,77.0,93.87471,113.0,buy,17.0,,192975994880.0,247794008064.0,,0.68882006,EUR,0.0,-4132333333.3333335,13.805251,13.243943,216,13.243943,0.6214876033057851,0.824793388429752,0.5388429752066116,1.1322314049586777,14.995208190082645,105.71621774008264,0.2984060441849068,0.188379337568358,1.4837632,0.15296870684289798,marge superieure a la mediane du secteur ; momentum (+37%) superieur au secteur (+19%) ; PEG bas (0.84) : croissance qui justifie plus que le P/E actuel,True
BPOP,2026-09-17,162.13999938964844,Financial Services,Banks - Regional,"Popular, Inc.",10.962812,1.6152781,14.79,0.15647,0.31645,,10341046272.0,1.37,0.3471602233477173,,USD,507246.0,United States,181.0,197.5,216.0,none,10.0,,4964242944.0,1607745024.0,,0.40971002,USD,-239701333.3333333,-179296333.33333334,13.805251,13.243943,216,13.243943,0.6181818181818182,0.6,0.5388429752066116,1.0743801652892562,14.229029669421488,210.4473488107438,0.29793604047700195,0.188379337568358,1.4837632,0.21808314261415407,"P/E de 11.0 nettement sous la mediane de l'industrie (13.2) ; momentum (+35%) superieur au secteur (+19%) ; cible analystes (10 analystes, moyenne 197.50) +22% au-dessus du prix actuel",True
JAZZ,2026-09-18,241.44000244140625,Healthcare,Biotechnology,Jazz Pharmaceuticals plc,16.536985,3.2582996,14.6,0.22114,0.20445,91.828,15672975360.0,0.96,0.9019725862778568,,USD,855098.0,Ireland,225.0,290.6,337.0,buy,20.0,1429392896.0,2199800064.0,4409299968.0,1.381,0.26914,USD,-235404333.3333333,0.0,22.8845235,19.317339,29,19.317339,0.7338709677419355,0.7580645161290323,0.7943548387096774,1.1078629032258065,21.400963267137097,312.45406370020163,0.29412715598372885,0.10386082482070455,2.90274665,0.2036116511824677,marge superieure a la mediane du secteur ; momentum (+90%) superieur au secteur (+10%) ; PEG bas (0.96) : croissance qui justifie plus que le P/E actuel,True
2357.TW,2026-09-22,945.0,Technology,Computer Hardware,ASUSTeK Computer Inc.,14.108688,2.329158,66.98,0.18573,0.05844,31.13,701908451328.0,0.52,0.5838539104342888,,TWD,4275105.0,Taiwan,700.0,1050.3334,1320.0,buy,12.0,-75758706688.0,91966226432.0,102723461120.0,0.539,0.081379995,TWD,0.0,-16340726000.0,23.875067,18.169859000000002,68,18.169859000000002,0.6135957066189625,0.2826475849731664,0.5152057245080501,0.9986583184257605,18.14548083497317,1215.384306326503,0.2861209590756646,0.1768172085560135,3.141345,0.11146391534391542,P/E de 14.1 nettement sous la mediane de l'industrie (18.2) ; momentum (+58%) superieur au secteur (+18%) ; PEG bas (0.52) : croissance qui justifie plus que le P/E actuel,True
THG,2026-09-17,230.8600006103516,Financial Services,Insurance - Property & Casualty,"The Hanover Insurance Group, Inc.",11.056514,2.193882,20.88,0.21885,0.1117,22.982,8038596096.0,0.34,0.2643078708991506,,USD,316711.0,United States,222.0,236.5,260.0,hold,8.0,1081224960.0,266100000.0,844000000.0,0.179,0.14755,USD,-51966666.66666666,-123966666.66666669,13.805251,12.2509985,44,12.2509985,0.8099173553719008,0.16363636363636364,0.17851239669421487,1.1512396694214877,14.103835463223142,294.48808447209916,0.27561328811195773,0.188379337568358,1.4837632,0.02443038800457975,ROE (22%) dans le haut du secteur ; dette plus faible que la mediane du secteur ; momentum (+26%) superieur au secteur (+19%),True
9766.T,2026-09-18,20895.0,Communication Services,Electronic Gaming & Multimedia,Konami Group Corporation,25.12445,4.885401,831.66,0.21156,0.21426001,9.489,2832452550656.0,1.9,0.0427199001296747,,JPY,538311.0,Japan,22500.0,26696.47,31000.0,strong_buy,17.0,72322375680.0,316112011264.0,55017000960.0,3.539,0.34952998,JPY,0.0,-19934333333.33333,18.8318435,25.69266,8,25.69266,0.68,0.8,0.18,1.245,31.987361700000005,26602.609231422004,0.27315669927839226,0.0059510622336763006,2.8834179,0.2776487197894233,marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur ; momentum (+4%) superieur au secteur (+1%),True
UFCS,2026-09-16,54.75,Financial Services,Insurance - Property & Casualty,"United Fire Group, Inc.",10.1577,1.4399558,5.39,0.15465,0.095699996,14.974,1407372800.0,1.41,0.786945906331378,,USD,161924.0,United States,57.0,58.5,60.0,none,2.0,255639504.0,139444992.0,146350000.0,0.256,0.11761,USD,-641500.0,-16227333.333333334,13.805251,12.2509985,44,12.2509985,0.6099173553719008,0.1305785123966942,0.13553719008264462,1.053719008264463,12.909109989669423,69.58010284431819,0.27086945834371123,0.188379337568358,1.4837632,0.06849315068493156,P/E de 10.2 nettement sous la mediane de l'industrie (12.3) ; dette plus faible que la mediane du secteur ; momentum (+79%) superieur au secteur (+19%),True
LCII,2026-09-03,101.06999969482422,Consumer Cyclical,Recreational Vehicles,LCI Industries,11.711472,1.7162216,8.63,0.15,0.05244,80.054,2457164032.0,1.04,0.1250230723223908,,USD,443080.0,United States,114.0,129.4,175.0,none,10.0,264589248.0,216512000.0,1146180992.0,1.045,0.00543,USD,-42857000.0,-109950000.0,16.3701185,15.186111,7,15.186111,0.5527426160337553,0.3924050632911392,0.5780590717299579,0.979957805907173,14.881748015822785,128.42948537655064,0.27069838492467624,0.0049086485502458,1.77405475,0.2803007855022934,"P/E de 11.7 nettement sous la mediane de l'industrie (15.2) ; momentum (+13%) superieur au secteur (+0%) ; cible analystes (10 analystes, moyenne 129.40) +28% au-dessus du prix actuel",True
SBIN.NS,2026-09-21,990.0999755859376,Financial Services,Banks - Regional,State Bank of India,10.584776,1.4694729,93.54,0.15177,0.22376,,9139234275328.0,0.53,0.2368692004752608,,INR,9723125.0,India,1120.0,1263.1025,1390.0,strong_buy,39.0,,2120133509120.0,8203340349440.0,,0.35717,INR,0.0,-121672252333.33331,13.805251,13.243943,216,13.243943,0.6033057851239669,0.36363636363636365,0.5388429752066116,1.0078512396694215,13.347924370661156,1248.5648456316446,0.2610492641339057,0.188379337568358,1.4837632,0.2757322807249849,P/E de 10.6 nettement sous la mediane de l'industrie (13.2) ; momentum (+24%) superieur au secteur (+19%) ; PEG bas (0.53) : croissance qui justifie plus que le P/E actuel,True
7269.T,2026-09-22,2028.0,Consumer Cyclical,Auto Manufacturers,Suzuki Motor Corporation,8.904891,1.1054741,227.74,0.1532,0.0789,17.348,3912567357440.0,0.56,0.0437389453488024,,JPY,7437741.0,Japan,1800.0,2556.4707,3000.0,buy,17.0,203950374912.0,1006643970048.0,752409968640.0,1.063,0.09263,JPY,-6668333333.333333,-68228333333.333336,16.3701185,9.8836905,20,9.8836905,0.5611814345991561,0.5759493670886076,0.18354430379746836,1.128691983122363,11.15564223101266,2540.5859616908233,0.25275441897969597,0.0049086485502458,1.77405475,0.26058713017751467,dette plus faible que la mediane du secteur ; momentum (+4%) superieur au secteur (+0%) ; PEG bas (0.56) : croissance qui justifie plus que le P/E actuel,True
