ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
2006.TW,2026-09-21,86.4000015258789,Basic Materials,Steel,Tung Ho Steel Enterprise Corporation,11.52,1.8463513,7.5,0.16790001,0.0955,23.873,63090475008.0,0.57,0.4120969916689139,,TWD,3161358.0,Taiwan,80.0,88.4,94.0,strong_buy,5.0,6070228992.0,1226675968.0,8180882944.0,0.696,0.13664,TWD,0.0,-2847833666.6666665,17.521008,17.116022,37,17.116022,0.6395759717314488,0.45936395759717313,0.3710247349823322,1.0918727915194346,18.68851872084806,140.16389040636045,0.6222672214233462,0.2695464248359303,2.0148,0.02314813007870198,P/E de 11.5 nettement sous la mediane de l'industrie (17.1) ; momentum (+41%) superieur au secteur (+27%) ; PEG bas (0.57) : croissance qui justifie plus que le P/E actuel,True
9939.TW,2026-09-23,125.0,Consumer Cyclical,Packaging & Containers,"Taiwan Hon Chuan Enterprise Co., Ltd.",11.3843355,1.8694943,10.98,0.17929001,0.11066,116.339,36973309952.0,0.64,0.0840890081749621,,TWD,1465997.0,Taiwan,154.0,154.5,155.0,none,2.0,-1976848128.0,4824200192.0,23477700608.0,0.754,0.18606001,TWD,0.0,-1584966000.0,16.3701185,17.174011,22,17.174011,0.6286919831223629,0.7194092827004219,0.7088607594936709,1.0669831223628692,18.32437988027426,201.2016910854114,0.6096135286832911,0.0049086485502458,1.77405475,0.236,P/E de 11.4 nettement sous la mediane de l'industrie (17.2) ; momentum (+8%) superieur au secteur (+0%) ; PEG bas (0.64) : croissance qui justifie plus que le P/E actuel,True
B3SA3.SA,2026-09-17,17.510000228881836,Financial Services,Financial Data & Stock Exchanges,"B3 S.A. - Brasil, Bolsa, Balcão",17.51,4.679316,1.0,0.27714002,0.49453998,82.574,87211196416.0,1.21,0.2682495170027918,,BRL,37322593.0,Brazil,16.0,19.85714,23.0,buy,14.0,4277547008.0,15663472640.0,15465590784.0,1.673,0.64725,BRL,-2997676666.6666665,0.0,13.805251,23.22627,17,23.22627,0.8975206611570248,0.8644628099173554,0.8429752066115702,1.2041322314049585,27.967500322314045,27.967500322314045,0.5972301517268461,0.188379337568358,1.4837632,0.13404567335451434,P/E de 17.5 nettement sous la mediane de l'industrie (23.2) ; ROE (28%) dans le haut du secteur ; marge superieure a la mediane du secteur,True
1802.T,2026-09-22,3083.0,Industrials,Engineering & Construction,Obayashi Corporation,12.361172,1.7030383,249.41,0.16165,0.072519995,27.364,2119320469504.0,0.52,0.2470165680430029,,JPY,2523266.0,Japan,3000.0,3812.5,4700.0,buy,8.0,,467229999104.0,355662004224.0,1.09,0.052449998,JPY,-23462666666.666668,-51809666666.66666,21.189800499999997,17.885448,87,17.885448,0.597953216374269,0.42251461988304095,0.24561403508771928,1.093201754385965,19.55240313157895,4876.564865047106,0.5817596059186201,0.11879627642870236,2.37770425,0.23662017515407063,P/E de 12.4 nettement sous la mediane de l'industrie (17.9) ; dette plus faible que la mediane du secteur ; momentum (+25%) superieur au secteur (+12%),True
BVS,2026-09-17,12.660099983215332,Healthcare,Medical Devices,Bioventus Inc.,16.230898,3.7825217,0.78,0.25684,0.09361,95.075,864749952.0,1.53,1.040358669922274,,USD,709422.0,United States,15.0,17.6,19.0,none,5.0,67764128.0,30394000.0,263748992.0,1.107,0.122279994,USD,0.0,0.0,22.8845235,24.443452,38,24.443452,0.7943548387096774,0.3911290322580645,0.8145161290322581,1.0413306451612905,25.453715641129037,19.85389820008065,0.5682260192575732,0.10386082482070455,2.90274665,0.3901943920927917,P/E de 16.2 nettement sous la mediane de l'industrie (24.4) ; ROE (26%) dans le haut du secteur ; momentum (+104%) superieur au secteur (+10%),True
2303.TW,2026-09-16,142.0,Technology,Semiconductors,United Microelectronics Corporation,21.5478,4.0231185,6.59,0.21327999,0.33293,14.293,1780615086080.0,1.17,1.880521224401695,,TWD,180812962.0,Taiwan,41.0,133.8913,258.0,buy,23.0,36890628096.0,147391856640.0,63449882624.0,1.772,0.21712999,TWD,0.0,-39461590666.66666,23.875067,27.089228499999997,70,27.089228499999997,0.6726296958855098,0.9284436493738819,0.3559928443649374,1.229427549194991,33.3042438043381,219.47496667058806,0.5455983568351273,0.1768172085560135,3.141345,-0.05710352112676054,P/E de 21.5 nettement sous la mediane de l'industrie (27.1) ; marge superieure a la mediane du secteur ; momentum (+188%) superieur au secteur (+18%),True
DINO,2026-09-22,109.2699966430664,Energy,Oil & Gas Refining & Marketing,HF Sinclair Corporation,10.416587,1.8888177,10.49,0.19504999,0.06132,32.261,19426441216.0,1.92,1.004672472361337,,USD,2708914.0,United States,73.0,102.33333,140.0,hold,15.0,2035624960.0,2262000128.0,3339000064.0,1.07,0.11694,USD,-675000000.0,-367666666.6666667,16.53125,15.103082,15,15.103082,0.6423841059602649,0.24503311258278146,0.304635761589404,1.0562913907284768,15.953255490066224,167.3496500907947,0.5315242539765712,0.4470178509029252,2.1116993,-0.06348189673442772,P/E de 10.4 nettement sous la mediane de l'industrie (15.1) ; dette plus faible que la mediane du secteur ; momentum (+100%) superieur au secteur (+45%),True
2503.T,2026-09-17,2882.5,Consumer Defensive,Beverages - Brewers,"Kirin Holdings Company, Limited",11.770591,1.6865493,244.89,0.15143,0.078099996,50.194,2284124110848.0,1.67,0.4504491467880718,,JPY,3360817.0,Japan,2550.0,2967.8,3867.0,buy,15.0,226882617344.0,168075001856.0,843601018880.0,0.915,0.12544,JPY,-30062000000.0,-56531333333.333336,18.638887,16.758621,11,16.758621,0.5915492957746479,0.5821596244131455,0.4694835680751174,1.0739436619718312,17.997814806338035,4407.484867924121,0.5290493904333464,0.026812733382789,1.9859585,0.02959236773634011,"P/E de 11.8 nettement sous la mediane de l'industrie (16.8) ; momentum (+45%) superieur au secteur (+3%) ; cible analystes (15 analystes, moyenne 2967.80) +3% au-dessus du prix actuel",True
PATH,2026-09-18,13.529999732971191,Technology,Software - Infrastructure,"UiPath, Inc.",20.194029,3.617647,0.67,0.20027,0.21031,4.093,7051232768.0,0.5,0.3953662120035093,,USD,71196600.0,United States,10.98,16.85176,23.0,hold,17.0,474257632.0,1283990016.0,79760000.0,2.139,0.08922,USD,-274155666.6666667,0.0,23.875067,25.067028999999998,48,25.067028999999998,0.6404293381037567,0.7906976744186046,0.17531305903398928,1.224060822898032,30.683568145348833,20.55799065738372,0.5194376247684656,0.1768172085560135,3.141345,0.24551074150681806,P/E de 20.2 nettement sous la mediane de l'industrie (25.1) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
GL,2026-09-17,172.6300048828125,Financial Services,Insurance - Life,Globe Life Inc.,11.485696,2.1608462,15.03,0.20944999,0.19577,55.675,13266521088.0,1.3,0.2175259117348933,,USD,597829.0,United States,166.0,193.90909,225.0,none,11.0,1163503360.0,455380992.0,3427248896.0,0.64,0.24642,USD,-798064000.0,-85222666.66666667,13.805251,16.821138,29,16.821138,0.7900826446280992,0.3090909090909091,0.7801652892561983,1.0272727272727273,17.279896309090912,259.71684152563637,0.504471031568015,0.188379337568358,1.4837632,0.12326411698610862,P/E de 11.5 nettement sous la mediane de l'industrie (16.8) ; ROE (21%) dans le haut du secteur ; momentum (+22%) superieur au secteur (+19%),True
1590.TW,2026-09-22,1260.0,Industrials,Specialty Industrial Machinery,Airtac International Group,23.8546,4.597131,52.82,0.21063,0.2638,0.977,251999993856.0,1.15,0.9329979807476804,,TWD,807814.0,Taiwan,1130.0,1784.8948,2080.0,strong_buy,19.0,4226195968.0,9835848704.0,535619008.0,2.416,0.35059,TWD,0.0,-3428228000.0,21.189800499999997,26.492352500000003,96,26.492352500000003,0.7368421052631579,0.9429824561403509,0.027777777777777776,1.3472222222222223,35.69108600694445,1885.203162886806,0.49619298641810006,0.11879627642870236,2.37770425,0.41658317460317473,marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur ; momentum (+93%) superieur au secteur (+12%),True
ABEV3.SA,2026-09-21,15.520000457763672,Consumer Defensive,Beverages - Brewers,Ambev S.A.,15.067962,2.7156606,1.03,0.184,0.18406,3.317,239263891456.0,1.92,0.3156529091903717,,BRL,27377943.0,Brazil,13.0,16.26667,20.0,hold,18.0,19859091456.0,18346395648.0,2948960000.0,0.671,0.23743,BRL,-837433333.3333334,-12147266666.666666,18.638887,16.758621,11,16.758621,0.7511737089201878,0.9248826291079812,0.07042253521126761,1.3392018779342723,22.443176714788734,23.116472016232397,0.48946335917591366,0.026812733382789,1.9859585,0.04811014949827652,ROE (18%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
GEO,2026-09-03,31.530000686645508,Industrials,Security & Protection Services,"The GEO Group, Inc.",14.8726425,2.6994863,2.12,0.20127001,0.10312,106.105,4149965568.0,1.35,0.5524646081636571,,USD,2080853.0,United States,31.0,37.75,40.0,strong_buy,4.0,-3632500.0,54992000.0,1607155968.0,1.528,0.13892001,USD,-30340333.33333333,0.0,21.189800499999997,20.409092,13,20.409092,0.7280701754385965,0.5994152046783626,0.7514619883040936,1.0760233918128657,21.960660397660824,46.55660004304095,0.47658100314472684,0.11879627642870236,2.37770425,0.19727241287339914,"P/E de 14.9 nettement sous la mediane de l'industrie (20.4) ; momentum (+55%) superieur au secteur (+12%) ; cible analystes (4 analystes, moyenne 37.75) +20% au-dessus du prix actuel",True
SNA,2026-09-03,382.0499877929688,Industrials,Tools & Accessories,Snap-on Incorporated,19.492346,3.270808,19.6,0.17932,0.19597,21.595,19762348032.0,1.95,0.1449987666842476,,USD,342295.0,United States,330.0,413.77777,485.0,hold,9.0,1109474944.0,1644199936.0,1310000000.0,2.508,0.25397,USD,-304433333.3333333,-408066666.6666667,21.189800499999997,22.815285,23,22.815285,0.6681286549707602,0.8874269005847953,0.20175438596491227,1.255482456140351,28.644190049342107,561.4261249671054,0.4695096005901187,0.11879627642870236,2.37770425,0.08304615422268857,marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur ; momentum (+14%) superieur au secteur (+12%),True
ASM.AS,2026-09-21,838.2000122070312,Technology,Semiconductor Equipment & Materials,ASM International NV,38.431915,9.231175,21.81,0.26798,0.31929,1.585,40918437888.0,1.19,0.5879911089679231,,EUR,170974.0,Netherlands,690.0,1125.8948,1457.0,buy,19.0,235275008.0,1180099968.0,70500000.0,1.651,0.32169998,EUR,-134809333.33333334,-135394333.33333334,23.875067,41.355137,39,41.355137,0.778175313059034,0.9177101967799642,0.1001788908765653,1.3434704830053668,55.55940588014311,1211.7506422459212,0.4456581061783913,0.1768172085560135,3.141345,0.34322928132087593,ROE (27%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
3044.TW,2026-09-17,499.0,Technology,Electronic Components,Tripod Technology Corporation,21.480844,4.707547,23.23,0.24425,0.14571,7.059,262277398528.0,1.32,0.6979320984207729,,TWD,3421170.0,Taiwan,615.0,685.7143,725.0,none,7.0,-3628377344.0,24026361856.0,3933587968.0,1.194,0.22467,TWD,0.0,-4423849666.666667,23.875067,25.056390999999998,116,25.056390999999998,0.740608228980322,0.6261180679785331,0.23792486583184258,1.2173524150268336,30.502458095706615,708.5721015632647,0.4199841714694683,0.1768172085560135,3.141345,0.3741769539078157,"dette plus faible que la mediane du secteur ; momentum (+70%) superieur au secteur (+18%) ; cible analystes (7 analystes, moyenne 685.71) +37% au-dessus du prix actuel",True
5706.T,2026-09-18,21760.0,Industrials,Conglomerates,"Mitsui Kinzoku Company, Limited",13.644772,2.9494262,1594.75,0.30622,0.14418,27.79,1245047685120.0,1.14,1.5625125197299004,,JPY,1564292.0,Japan,32000.0,49820.0,68900.0,strong_buy,10.0,,53604999168.0,119625998336.0,0.96,0.10431,JPY,0.0,-10671333333.333334,21.189800499999997,14.6866225,52,14.6866225,0.8786549707602339,0.7660818713450293,0.25,1.3183479532163744,19.36207871253655,30877.675026817666,0.4190108008647824,0.11879627642870236,2.37770425,1.2895220588235294,ROE (31%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
DCI,2026-09-18,85.62999725341797,Industrials,Specialty Industrial Machinery,"Donaldson Company, Inc.",22.241558,5.6298485,3.85,0.28205,0.11679,75.085,9925463040.0,1.58,0.1249301470900678,,USD,682675.0,United States,79.0,99.6,123.0,hold,5.0,347024992.0,250400000.0,1324800000.0,1.254,0.17085,USD,-212000000.0,-123033333.33333331,21.189800499999997,26.492352500000003,96,26.492352500000003,0.8538011695906432,0.6666666666666666,0.6111111111111112,1.1907894736842106,31.546814490131585,121.4552357870066,0.41837252928509994,0.11879627642870236,2.37770425,0.16314379533656242,P/E de 22.2 nettement sous la mediane de l'industrie (26.5) ; ROE (28%) dans le haut du secteur ; momentum (+12%) superieur au secteur (+12%),True
AMN,2026-09-03,32.68000030517578,Healthcare,Medical Care Facilities,"AMN Healthcare Services, Inc.",12.148699,1.7067949,2.69,0.15556,0.030550001,104.658,1265696128.0,1.22,0.770661038149336,,USD,832722.0,United States,26.0,35.57143,40.0,hold,7.0,445770624.0,361836000.0,775809984.0,1.027,0.03997,USD,-141581333.33333334,0.0,22.8845235,20.098073,28,20.098073,0.5645161290322581,0.125,0.8346774193548387,0.8548387096774193,17.18061079032258,46.215843025967736,0.4141934698405796,0.10386082482070455,2.90274665,0.08847704001906886,"P/E de 12.1 nettement sous la mediane de l'industrie (20.1) ; momentum (+77%) superieur au secteur (+10%) ; cible analystes (7 analystes, moyenne 35.57) +9% au-dessus du prix actuel",True
AMZN,2026-09-03,258.1849975585937,Consumer Cyclical,Internet Retail,"Amazon.com, Inc.",20.754421,5.0470133,12.44,0.30558002,0.1744,45.617,2784864239616.0,1.49,0.1830850314182188,,USD,48357831.0,United States,230.0,328.004,405.0,strong_buy,60.0,3219124992.0,122988003328.0,251635007488.0,0.843,0.13689,USD,0.0,0.0,16.3701185,22.775734999999997,18,22.775734999999997,0.8248945147679325,0.8713080168776371,0.40717299578059074,1.278481012658228,29.118344746835444,362.2322086506329,0.4029947985975686,0.0049086485502458,1.77405475,0.2704223835684383,ROE (31%) dans le haut du secteur ; marge superieure a la mediane du secteur ; momentum (+18%) superieur au secteur (+0%),True
OFG,2026-09-16,52.810001373291016,Financial Services,Banks - Regional,OFG Bancorp,10.416174,1.5860764,5.07,0.16081,0.33854,,2232040960.0,0.92,0.2160816125943627,,USD,323679.0,United States,55.0,56.5,58.0,none,4.0,,745729024.0,577990976.0,,0.43318,USD,-60191000.0,-46177000.0,13.805251,13.243943,216,13.243943,0.6297520661157024,0.6495867768595042,0.5388429752066116,1.0925619834710745,14.469828633057853,73.36203116960331,0.3891692721429585,0.188379337568358,1.4837632,0.06987310226761756,P/E de 10.4 nettement sous la mediane de l'industrie (13.2) ; momentum (+22%) superieur au secteur (+19%) ; PEG bas (0.92) : croissance qui justifie plus que le P/E actuel,True
GOOGL,2026-09-16,345.8500061035156,Communication Services,Internet Content & Information,Alphabet Inc.,17.344534,6.7952294,19.94,0.48676,0.54771,18.859,4229723062272.0,1.25,0.3986588319532509,,USD,29935064.0,United States,340.0,428.06668,515.0,strong_buy,54.0,22665000960.0,242473992192.0,120790999040.0,2.471,0.34033,USD,-56478333333.333336,-5804000000.0,18.8318435,17.479382,23,17.479382,0.92,0.97,0.32,1.3724999999999998,23.990451795,478.3696087923,0.38317073977185423,0.0059510622336763006,2.8834179,0.23772349991480501,ROE (49%) dans le haut du secteur ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,True
URBN,2026-09-03,80.62999725341797,Consumer Cyclical,Apparel Retail,"Urban Outfitters, Inc.",12.618154,2.6438665,6.39,0.20942,0.08789,42.512,6905990656.0,1.32,0.1296374366046235,,USD,1173834.0,United States,75.0,90.15385,111.0,buy,13.0,101135128.0,716126976.0,1213373952.0,0.71,0.11618,USD,-68736000.0,0.0,16.3701185,14.871189000000001,22,14.871189000000001,0.6940928270042194,0.630801687763713,0.3755274261603376,1.1608649789029535,17.263442504746834,110.31339760533227,0.36814338785874146,0.0049086485502458,1.77405475,0.11811798426147546,"P/E de 12.6 nettement sous la mediane de l'industrie (14.9) ; momentum (+13%) superieur au secteur (+0%) ; cible analystes (13 analystes, moyenne 90.15) +12% au-dessus du prix actuel",True
AMG,2026-09-16,348.2300109863281,Financial Services,Asset Management,"Affiliated Managers Group, Inc.",12.218596,2.9802475,28.5,0.24257,0.37719002,76.096,9005204480.0,0.59,0.5444316689619011,,USD,278572.0,United States,360.0,437.57144,512.0,none,7.0,277175008.0,502800000.0,3199000064.0,101.314,0.30357,USD,-702866666.6666666,-1300000.0,13.805251,14.458955,125,14.458955,0.8462809917355372,0.7421487603305785,0.828099173553719,1.1516528925619836,16.651697349173553,474.5733744514462,0.362815838609839,0.188379337568358,1.4837632,0.25655867155338163,P/E de 12.2 nettement sous la mediane de l'industrie (14.5) ; ROE (24%) dans le haut du secteur ; momentum (+54%) superieur au secteur (+19%),True
