ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
STNE,2026-09-02,10.3100004196167,Technology,Software - Infrastructure,StoneCo Ltd.,3.9201522,1.0423089,2.63,0.33968,0.24714,187.682,2377441024.0,,-0.3790756302623609,,USD,4771246.0,Cayman Islands,9.130767,15.220661,23.678535,buy,17.0,,,,,,,,,24.234068,27.76909,50,27.76909,0.8581560283687943,0.8475177304964538,0.9432624113475178,1.1551418439716314,32.07723782801419,84.36313548767731,7.182651023676071,0.18160768933520066,3.1429535,0.47630071586028766,P/E de 3.9 nettement sous la mediane de l'industrie (27.8) ; ROE (34%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2628.HK,2026-09-03,30.5,Financial Services,Insurance - Life,China Life Insurance Company Limited,2.9872673,1.1138878,10.21,0.41301998,0.54195,38.5,862073454592.0,0.38,0.424236555981651,,HKD,55265905.0,China,14.160333,35.991478,44.561577,buy,15.0,,,,,,,,,13.980483,17.342106,27,17.342106,0.96,0.8816666666666667,0.2633333333333333,1.3845833333333333,24.0115909325,245.15834342082502,7.0379784728139345,0.1924712877471899,1.5007997,0.18004845901639355,P/E de 3.0 nettement sous la mediane de l'industrie (17.3) ; ROE (41%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
KEP,2026-09-02,11.604999542236328,Utilities,Utilities - Regulated Electric,Korea Electric Power Corporation,2.619639,0.4064912,4.43,0.16595,0.08035,263.19,14899986432.0,0.44,-0.1111110948714465,,USD,1148944.0,South Korea,15.0,15.0,15.0,none,1.0,,,,,,,,,18.395144,19.012283,49,19.012283,0.84251968503937,0.33070866141732286,0.9212598425196851,1.0236220472440944,19.461392047244093,86.21396676929133,6.429036636797451,0.0964512996038442,1.7816312,0.29254636722798555,P/E de 2.6 nettement sous la mediane de l'industrie (19.0) ; ROE (17%) dans le haut du secteur ; PEG bas (0.44) : croissance qui justifie plus que le P/E actuel,False
BYD,2026-09-03,76.8949966430664,Consumer Cyclical,Resorts & Casinos,Boyd Gaming Corporation,3.4114904,2.2483916,22.54,0.93084997,0.44341,130.47,5586838016.0,3.03,-0.0963094409268405,,USD,943495.0,United States,87.0,95.9375,111.0,buy,16.0,283961504.0,323612992.0,3258284032.0,0.646,0.20891,USD,-625609666.6666666,-61480666.66666666,16.624776,18.8534655,10,18.8534655,0.9686192468619247,0.9686192468619247,0.7531380753138075,1.2881799163179917,24.28665561009414,547.4212174515219,6.119074599776091,0.0049086485502458,1.82180005,0.24764294412191323,P/E de 3.4 nettement sous la mediane de l'industrie (18.9) ; ROE (93%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
4736.TW,2026-09-03,127.5,Healthcare,Medical Devices,TaiDoc Technology Corporation,5.1977167,1.204603,24.53,0.25726,0.60652,8.279,13206183936.0,,0.1992606235844083,,TWD,274191.0,Taiwan,,,,none,,,,,,,,,,23.3923085,26.3448085,38,26.3448085,0.7983870967741935,0.967741935483871,0.16532258064516128,1.3497983870967742,35.56018002167339,872.2912159316483,5.841499732797241,0.10175650651128215,2.97182475,,P/E de 5.2 nettement sous la mediane de l'industrie (26.3) ; ROE (26%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
SDF.DE,2026-09-02,17.010000228881836,Basic Materials,Agricultural Inputs,K+S Aktiengesellschaft,2.8781726,0.5667922,5.91,0.21958,0.27583998,18.46,,9.5,0.4371959851800702,,EUR,993818.0,Germany,10.5,16.3,30.0,hold,12.0,,,,,,,,,18.017094999999998,15.490565,9,15.490565,0.7587412587412588,0.8076923076923077,0.32517482517482516,1.25,19.36320625,114.4365489375,5.727604197394098,0.26868299339449564,2.0752654,-0.04174016574534212,P/E de 2.9 nettement sous la mediane de l'industrie (15.5) ; ROE (22%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
3356.TW,2026-09-03,62.70000076293945,Industrials,Security & Protection Services,GeoVision Inc.,4.4626336,1.7829216,14.05,0.46889,1.05134,9.379,4298111488.0,0.78,0.3518614504841439,,TWD,732740.0,Taiwan,,,,none,,,,,,,,,,21.574627999999997,20.409092,13,20.409092,0.9577259475218659,0.9956268221574344,0.10349854227405247,1.4518950437317784,29.631859521865888,416.32762628221576,5.639993958792702,0.12008745507775205,2.37543655,,P/E de 4.5 nettement sous la mediane de l'industrie (20.4) ; ROE (47%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
9904.TW,2026-09-03,24.600000381469727,Consumer Cyclical,Footwear & Accessories,Pou Chen Corporation,2.721239,0.38830662,9.04,0.1351,0.10772,29.05,72490967040.0,1.53,-0.0914010237132241,,TWD,21584332.0,Taiwan,29.1,30.7,32.0,none,3.0,,,,,,,,,16.624776,16.306948,18,16.306948,0.49372384937238495,0.7071129707112971,0.26778242677824265,1.106694560669456,18.046810652719664,163.14316830058576,5.631836006940695,0.0049086485502458,1.82180005,0.24796746032269068,"P/E de 2.7 nettement sous la mediane de l'industrie (16.3) ; dette plus faible que la mediane du secteur ; cible analystes (3 analystes, moyenne 30.70) +25% au-dessus du prix actuel",False
8271.TW,2026-09-03,223.0,Technology,Semiconductors,Apacer Technology Inc.,5.545884,3.0386438,40.21,0.74899,0.22583,28.659,28903921664.0,,2.211379263812653,,TWD,4776272.0,Taiwan,,,,none,,,,,,,,,,24.234068,27.4522255,72,27.4522255,0.9574468085106383,0.8102836879432624,0.5,1.3062943262411348,35.8606864133422,1441.9582006804899,5.4661802721098205,0.18160768933520066,3.1429535,,P/E de 5.5 nettement sous la mediane de l'industrie (27.5) ; ROE (75%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
LEG.DE,2026-09-02,48.63999938964844,Real Estate,Real Estate Services,LEG Immobilien SE,3.2405062,0.41677377,15.01,0.15585,0.87602997,108.444,3737909504.0,,-0.2355658242434455,,EUR,278468.0,Germany,51.0,74.82857,109.6,buy,14.0,,,,,,,,,16.63,16.7466255,30,16.7466255,0.8121546961325967,0.9005524861878453,0.6077348066298343,1.229281767955801,20.586321401933702,309.00068424302486,5.352810199845241,0.0397132859102749,1.1469057,0.5384163433177389,P/E de 3.2 nettement sous la mediane de l'industrie (16.7) ; ROE (16%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
CSQ,2026-09-03,20.989999771118164,Financial Services,Asset Management,Calamos Strategic Total Return Fund,3.1706948,0.96630144,6.62,0.34714,13.47787,40.538,3366158592.0,,0.1617061198342546,,USD,196847.0,United States,,,,none,,,,1412167552.0,0.736,0.3865,USD,-73.0,-193370361.66666663,13.980483,14.231216499999999,124,14.231216499999999,0.945,0.9916666666666667,0.27,1.4029166666666666,19.965210814791664,132.1696955939208,5.296793570040137,0.1924712877471899,1.5007997,,P/E de 3.2 nettement sous la mediane de l'industrie (14.2) ; ROE (35%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
TDC,2026-09-02,28.559999465942383,Technology,Software - Infrastructure,Teradata Corporation,6.0126314,4.4983463,4.75,1.19116,0.27085,16.695,2656079872.0,6.0,0.3482101204750902,,USD,3033180.0,United States,27.0,34.0,49.0,none,8.0,,,,,,,,,24.234068,27.76909,50,27.76909,0.9858156028368794,0.8679078014184397,0.3953900709219858,1.3610372340425534,37.794765445478724,179.52513586602393,5.285894230499077,0.18160768933520066,3.1429535,0.19047621273749615,P/E de 6.0 nettement sous la mediane de l'industrie (27.8) ; ROE (119%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
