ticker,name,sector,industry,pilier_bilan,pilier_rendement_capital,pilier_cash,pilier_marges,pilier_discipline,note_qualite_20,note_qualite_n_piliers,note_qualite_low_confidence,pilier_valorisation,pilier_momentum,note_perspective_20,note_perspective_n_piliers,note_perspective_low_confidence
2015.HK,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,15.8,1.8,,1.6,,6.4,3,False,,0.3,0.3,1,True
2015.TW,"Feng Hsin Steel Co., Ltd.",Basic Materials,Steel,17.2,11.5,,11.5,,13.4,3,False,14.1,5.0,9.6,2,False
2017.TW,"Quintain Steel Co., LTD.",Basic Materials,Steel,3.0,2.7,,1.1,,2.3,3,False,,3.6,3.6,1,True
2020.HK,ANTA Sports Products Limited,Consumer Cyclical,Leisure,13.3,16.1,,18.1,,15.8,3,False,16.4,5.3,10.8,2,False
2020.TW,Mayer Steel Pipe Corporation,Basic Materials,Steel,2.7,12.4,,13.1,,9.4,3,False,18.8,3.6,11.2,2,False
2022.TW,"Tycoons Group Enterprise Co.,Ltd.",Industrials,Tools & Accessories,12.6,2.6,,2.1,,5.8,3,False,,5.9,5.9,1,True
2023.TW,"Yieh Phui Enterprise Co., Ltd.",Basic Materials,Steel,0.6,2.1,,2.0,,1.6,3,False,,2.3,2.3,1,True
2024.TW,"Chih Lien Industrial Co., Ltd.",Basic Materials,Steel,10.4,5.3,,6.3,,7.3,3,False,0.0,0.9,0.4,2,False
2025.TW,"Chien Shing Stainless Steel Co., Ltd.",Basic Materials,Steel,12.2,12.5,,14.4,,13.0,3,False,19.6,7.7,13.6,2,False
2027.TW,"Ta Chen Stainless Pipe Co., Ltd.",Basic Materials,Steel,7.5,14.6,,12.3,,11.5,3,False,19.4,11.1,15.2,2,False
2028.TW,"Wei Chih Steel Industrial Co., Ltd.",Basic Materials,Steel,9.0,5.6,,5.3,,6.6,3,False,0.0,3.2,1.6,2,False
2030.TW,"Froch Enterprise Co., Ltd.",Basic Materials,Steel,1.6,11.2,,8.6,,7.1,3,False,17.6,16.4,17.0,2,False
2031.TW,Hsin Kuang Steel Company Limited,Basic Materials,Steel,1.7,14.5,,13.4,,9.9,3,False,20.0,7.7,13.8,2,False
2032.TW,"Sinkang Industries Co., Ltd.",Basic Materials,Steel,14.3,11.2,,9.9,,11.8,3,False,17.6,9.0,13.3,2,False
2033.TW,"Chia Ta World Co., Ltd.",Basic Materials,Steel,15.5,5.4,,7.4,,9.4,3,False,0.0,8.7,4.4,2,False
2034.TW,"YC Inox Co.,Ltd",Basic Materials,Steel,1.2,5.3,,5.5,,4.0,3,False,0.0,6.4,3.2,2,False
2038.TW,Hai Kwang Enterprise Corporation,Basic Materials,Steel,2.9,3.0,,2.7,,2.9,3,False,,1.7,1.7,1,True
2049.TW,Hiwin Technologies Corporation,Industrials,Tools & Accessories,15.2,4.9,,12.2,,10.8,3,False,0.0,17.8,8.9,2,False
2057.HK,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,13.5,13.3,,17.8,,14.9,3,False,18.7,10.6,14.6,2,False
2059.TW,"King Slide Works Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",18.6,19.2,,19.7,,19.2,3,False,0.0,20.0,10.0,2,False
2062.TW,Sunspring Metal Corporation,Industrials,Building Products & Equipment,14.1,2.4,,3.1,,6.5,3,False,0.0,3.5,1.8,2,False
2069.TW,"Yuen Chang Stainless Steel Co., Ltd.",Basic Materials,Steel,2.0,10.8,,7.9,,6.9,3,False,20.0,14.5,17.2,2,False
2072.TW,"Century Wind Power Co., Ltd.",Industrials,Engineering & Construction,15.8,11.3,,18.3,,15.1,3,False,20.0,0.3,10.2,2,False
2101.TW,"Nankang Rubber Tire Corp.,Ltd.",Consumer Cyclical,Auto Parts,6.8,17.1,,18.9,,14.3,3,False,20.0,5.5,12.8,2,False
2102.TW,Federal Corporation,Consumer Cyclical,Auto Parts,19.9,18.9,,20.0,,19.6,3,False,20.0,9.8,14.9,2,False
2103.TW,TSRC Corporation,Basic Materials,Specialty Chemicals,6.5,11.1,,9.0,,8.9,3,False,20.0,17.3,18.6,2,False
2104.TW,"International CSRC Investment Holdings Co., Ltd.",Basic Materials,Specialty Chemicals,5.4,1.1,,0.4,,2.3,3,False,,3.7,3.7,1,True
2105.TW,"Cheng Shin Rubber Ind. Co., Ltd.",Consumer Cyclical,Auto Parts,13.1,7.7,,11.3,,10.7,3,False,9.9,6.1,8.0,2,False
2107.TW,Formosan Rubber Group Inc.,Basic Materials,Specialty Chemicals,16.6,6.7,,18.7,,14.0,3,False,18.7,8.8,13.8,2,False
2108.TW,"NANTEX Industry Co., Ltd.",Basic Materials,Specialty Chemicals,18.4,9.3,,11.1,,12.9,3,False,16.6,11.7,14.2,2,False
2114.TW,"Hsin Yung Chien Co., Ltd.",Consumer Cyclical,Auto Parts,17.9,13.4,,19.2,,16.8,3,False,13.0,11.7,12.4,2,False
2115.TW,Luhai Holding Corp.,Consumer Cyclical,Auto Parts,14.7,5.9,,9.5,,10.0,3,False,12.0,9.2,10.6,2,False
2201.TW,Yulon Motor Company Ltd.,Consumer Cyclical,Auto Manufacturers,2.4,5.2,,4.7,,4.1,3,False,0.0,6.2,3.1,2,False
2204.TW,China Motor Corporation,Consumer Cyclical,Auto Manufacturers,17.6,8.8,,14.7,,13.7,3,False,20.0,7.3,13.6,2,False
2206.TW,"Sanyang Motor Co., Ltd.",Consumer Cyclical,Auto Manufacturers,9.4,10.7,,12.4,,10.8,3,False,20.0,12.1,16.0,2,False
2207.TW,"Hotai Motor Co.,Ltd.",Consumer Cyclical,Auto & Truck Dealerships,2.4,15.8,,12.5,,10.2,3,False,12.4,7.2,9.8,2,False
2208.TW,CSBC Corporation,Industrials,Aerospace & Defense,0.7,6.9,,5.5,,4.4,3,False,9.8,2.4,6.1,2,False
2211.TW,Evergreen Steel Corp.,Industrials,Engineering & Construction,17.8,9.8,,18.0,,15.2,3,False,17.6,4.7,11.2,2,False
