sector,etf,sector_mom_12_2
Energy,XLE,0.46395597361311736
Technology,XLK,0.32858972402869835
Health Care,XLV,0.24113470670928971
Basic Materials,XLB,0.19161856471656202
Industrials,XLI,0.14541374936070195
Consumer Staples,XLP,0.10682223114201506
Finance,XLF,0.08433811289203375
Real Estate,XLRE,0.07489145771566075
Utilities,XLU,-0.011181854933803526
Consumer Discretionary,XLY,-0.02112344856027526
Telecommunications,XLC,-0.04984788151560582
