timestamp,strategy_avg_return,n_open,n_closed,spy_price,n100_price
2026-09-02T10:12:06Z,-0.008086174016929659,41,2,7631.47021484375,1897.8599853515625
2026-09-02T11:01:36Z,-0.008246180805266661,44,3,7631.47021484375,1895.4200439453125
2026-09-02T11:53:30Z,-0.007923137468298652,44,4,7631.47021484375,1902.56005859375
2026-09-02T12:54:44Z,-0.00980248420428198,38,11,7631.47021484375,1903.3499755859375
2026-09-02T14:05:47Z,-0.004917210557786677,42,18,7655.14990234375,1900.3399658203125
2026-09-02T14:50:33Z,-0.0022338521220280393,44,22,7674.2099609375,1906.2900390625
2026-09-02T16:03:17Z,-0.0015761769672163234,47,26,7672.81005859375,1905.06005859375
2026-09-02T17:05:01Z,0.00010204387595502185,47,31,7670.4501953125,1905.0400390625
2026-09-02T18:03:24Z,0.000954188808371977,48,34,7666.75,1905.0400390625
2026-09-02T19:03:25Z,0.0015986437776455413,50,37,7665.8798828125,1905.0400390625
2026-09-02T19:55:47Z,0.0008732297725346435,50,40,7665.39013671875,1905.0400390625
2026-09-02T20:55:00Z,0.0012660038940929964,50,43,7666.60009765625,1905.0400390625
2026-09-02T21:54:39Z,0.0016715434946312873,49,47,7666.60009765625,1905.0400390625
2026-09-02T22:00:01Z,0.0020720998093175045,49,51,7666.60009765625,1906.030029296875
2026-09-02T22:53:22Z,0.00244184409979709,50,54,7666.60009765625,1906.030029296875
2026-09-02T23:53:33Z,0.002772725230961236,50,57,7666.60009765625,1906.030029296875
2026-09-03T00:43:33Z,0.0033994762086254275,49,60,7666.60009765625,1906.030029296875
2026-09-03T01:04:31Z,0.0034909674826846416,53,62,7666.60009765625,1906.030029296875
2026-09-03T01:59:51Z,0.003501569272643299,52,66,7666.60009765625,1905.0400390625
2026-09-03T03:02:40Z,0.004132587370835738,52,69,7666.60009765625,1905.0400390625
2026-09-03T04:00:22Z,0.004977342802476136,52,72,7666.60009765625,1905.0400390625
2026-09-03T04:54:59Z,0.005660709867958593,52,74,7666.60009765625,1905.0400390625
2026-09-03T05:04:16Z,0.005972072192037624,52,76,7666.60009765625,1905.0400390625
2026-09-03T05:56:06Z,0.005208807343394048,52,78,7666.60009765625,1905.0400390625
2026-09-03T06:54:20Z,0.005572445034035162,52,80,7666.60009765625,1905.0400390625
2026-09-03T07:55:05Z,-0.001571631974453105,52,2,7666.60009765625,1902.8299560546875
2026-09-03T08:54:53Z,-0.001540075169944959,52,2,7666.60009765625,1904.6600341796875
2026-09-03T09:56:15Z,-0.0019489112617319332,52,2,7666.60009765625,1899.449951171875
2026-09-03T10:06:43Z,-0.001947870607632916,52,2,7666.60009765625,1898.6800537109375
2026-09-03T10:54:26Z,-0.0019277826853155125,52,2,7666.60009765625,1899.6099853515625
2026-09-03T11:54:55Z,-0.0019000863775224571,52,2,7666.60009765625,1902.47998046875
2026-09-03T12:53:16Z,-0.0018500633914580815,52,2,7666.60009765625,1901.0400390625
2026-09-03T14:03:06Z,-0.0011503156135272237,53,2,7700.8701171875,1902.6500244140625
2026-09-03T14:54:28Z,-0.0010546332325733977,53,2,7700.2998046875,1901.18994140625
2026-09-03T16:04:39Z,0.0025470361052277444,53,2,7745.81982421875,1906.8599853515625
2026-09-03T17:01:17Z,0.0019429001288623399,53,2,7744.740234375,1906.8199462890625
2026-09-03T18:05:39Z,0.0022897707748667164,53,2,7753.81005859375,1906.8199462890625
2026-09-03T19:04:32Z,0.001972730105887056,54,2,7751.6201171875,1906.8199462890625
2026-09-03T20:03:18Z,0.0013802588230629157,54,2,7747.60009765625,1906.8199462890625
2026-09-03T20:55:48Z,0.0013701138332642207,54,2,7747.7099609375,1906.8199462890625
2026-09-03T21:54:27Z,0.0013701138332642207,54,2,7747.7099609375,1906.8199462890625
2026-09-03T22:56:45Z,0.0013701138332642207,54,2,7747.7099609375,1905.0400390625
2026-09-03T23:54:39Z,0.0013701138332642207,54,2,7747.7099609375,1905.0400390625
2026-09-04T00:24:14Z,4.168059010139278e-05,55,2,7747.7099609375,1905.0400390625
2026-09-04T00:55:24Z,0.0003727134990792235,55,2,7747.7099609375,1905.0400390625
