timestamp,cash_eur,total_equity_eur,n_open,n_closed
2026-09-11T07:58:36Z,0.7425823638423061,299.99999999999994,13,0
2026-09-11T08:07:02Z,0.7425823638423061,299.9567026701832,13,0
2026-09-11T08:57:41Z,0.7425823638423061,300.15223064389284,13,0
2026-09-11T09:59:38Z,0.7425823638423061,300.35251336269914,13,0
2026-09-11T10:07:42Z,0.7425823638423061,300.33670793446606,13,0
2026-09-11T10:58:45Z,0.7425823638423061,300.5098538485963,13,0
2026-09-11T11:58:15Z,0.7425823638423061,300.4112227441581,13,0
2026-09-11T12:58:19Z,0.7425823638423061,300.5862821381799,13,0
2026-09-11T14:00:50Z,0.7425823638423061,300.87396658698793,13,0
2026-09-11T14:45:31Z,0.7425823638423061,299.730360066411,13,0
2026-09-11T15:00:11Z,0.7425823638423061,299.6846611309631,13,0
2026-09-11T16:00:06Z,0.7425823638423061,299.67052686918674,13,0
