ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count,entry_note_qualite,entry_note_qualite_low_confidence,entry_note_perspective,entry_note_perspective_low_confidence
2303.TW,United Microelectronics Corporation,Technology,Taiwan,closed,TWD,False,2026-09-11,140.5,8.0,30.60335385502219,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-24,154.0,0.4013776542245497,1.880521224401695,33.97495904108053,0.096085409252669,0.1814946619217081,2026-09-22,2026-09-24,154.0,trailing_stop,32.97495904108053,0.0634092520988709,13.0,0,13.6,False,17.8,False
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156529091903717,0.0287883243168445,2026-09-24,15.300000190734863,0.5073206374541124,0.31565283426487234,31.211219197799828,-0.027954230418139492,0.0095298967208266,2026-09-14,,,,,,,0,15.5,False,14.8,False
DINO,HF Sinclair Corporation,Energy,United States,open,USD,True,2026-09-11,107.72000122070312,0.3591923850635363,33.333333333333336,0.4192315086601654,1.0533333333333337,1.0046726232339842,0.4472449067977305,2026-09-24,106.13999938964844,0.5722724899432103,1.004672472361337,33.500156046419725,-0.014667673720291652,0.0870775821307285,2026-09-18,,,,,,,0,12.8,False,17.1,False
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,2.0,25.032960464593327,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-24,2366.0,0.7089774984807551,0.5042053470821488,26.315790313329778,0.05601428252622176,0.0638250390537826,2026-09-23,,,,,,,0,13.6,False,16.2,False
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,2.0,31.00489412597477,0.6286270609689923,1.0755813953488371,0.4504491467880718,0.0287883243168445,2026-09-24,2838.5,0.5447683568645001,0.4504489786074388,31.57116263921664,0.02288288288288287,0.0437837837837837,2026-09-17,,,,,,,0,11.9,False,17.7,False
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.98693034137323,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-24,1205.0,0.546660521742732,0.9329979807476805,33.238630038219576,-0.0622568093385214,0.0,2026-09-11,,,,,,,0,14.1,False,15.4,False
AMN,"AMN Healthcare Services, Inc.",Healthcare,United States,open,USD,True,2026-09-11,33.04999923706055,1.1707172481300383,33.333333333333336,0.3596623451013359,0.8582995951417003,0.770661038149336,0.1051716622566714,2026-09-24,33.90999984741211,0.3259698875464292,0.770661038149336,34.883530520621456,0.02602119909846179,0.0674735126691234,2026-09-16,,,,,,,0,12.0,False,17.2,False
FRSH,Freshworks Inc.,Technology,United States,open,USD,True,2026-09-11,11.869999885559082,3.2596633976874703,33.333333333333336,0.6820447111713379,1.2220744680851063,0.1826677599754977,0.1816076893352006,2026-09-24,12.869999885559082,0.6932329501251158,0.18266775997549778,36.86310617719477,0.08424599912731168,0.08424599912731168,2026-09-24,,,,,,,0,14.8,False,14.0,False
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-11,39.58000183105469,0.8421761442966842,33.333333333333336,0.2897915754934086,1.1806569343065694,0.7311927981312882,0.1194109799406772,2026-09-24,40.720001220703125,0.26418625733102186,0.7311927981312882,34.29341362380803,0.02880240871424089,0.0591206728053925,2026-09-23,,,,,,,0,13.2,False,15.6,False
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.869999885559082,1.101440965858843,13.161123283148058,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-24,13.039999961853027,0.6126012594115005,0.3953662120035093,12.62058376081001,-0.059841379275728745,0.0710165583853241,2026-09-14,,,,,,,0,14.9,False,13.8,False
2303.TW,United Microelectronics Corporation,Technology,Taiwan,open,TWD,False,2026-09-24,154.5,7.0,29.824608930948536,0.3921124710021362,1.2289803220035778,1.880521224401695,0.1760461336247574,2026-09-24,153.5,0.43607048474771704,1.880521224401695,29.638927780968412,-0.006472491909385147,0.0,2026-09-24,,,,,,,0,13.4,False,17.2,False
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-24,113.5,1.0,3.129998255813831,0.6873464502109707,1.2710970464135023,0.1097823325195554,0.0049086485502458,2026-09-24,113.5,0.6673129438818566,0.10978233251955549,3.130775526421512,0.0,0.0,2026-09-24,,,,,,,0,14.4,False,14.2,False
