timestamp,cash_eur,total_equity_eur,n_open,n_closed
2026-09-02T10:14:47Z,0.015696419394236383,500.00000000000006,26,0
2026-09-02T11:02:59Z,1.2638552566342725,499.8474504482891,26,1
2026-09-02T11:54:30Z,0.370450948475086,499.90881860791706,25,2
2026-09-02T12:56:07Z,0.06963486430003574,500.27924220481094,23,5
2026-09-02T14:07:13Z,1.5115524475685058,501.983062693143,22,6
2026-09-02T14:51:29Z,1.5115524475685058,502.3084565271733,22,6
2026-09-02T16:04:24Z,1.5115524475685058,502.61419799241764,22,6
2026-09-02T17:06:32Z,1.5115524475685058,502.93874944378115,22,6
2026-09-02T18:04:45Z,1.5115524475685058,502.79363035843545,22,6
2026-09-02T19:04:39Z,1.5115524475685058,503.1215547687432,22,6
2026-09-02T19:56:49Z,1.5115524475685058,502.50146232310516,22,6
2026-09-02T20:56:18Z,1.5115524475685058,502.4713923202107,22,6
2026-09-02T21:55:55Z,1.5115524475685058,502.5615776207018,22,6
2026-09-02T22:01:09Z,1.5115524475685058,502.5650891581587,22,6
