ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-04,1070.0,1.0,29.03505821781432,0.5657610987230557,1.4291604197901049,0.2210448961994704,0.1202814048203118,2026-09-19,1125.0,0.4808006436767618,0.22104489619947043,30.80335194515409,0.051401869158878455,0.051401869158878455,2026-09-19,,,,,,
WDC,Western Digital Corporation,Technology,United States,open,USD,True,2026-09-04,441.5700073242188,0.0877974229745104,33.333333333333336,0.4841735064448493,1.4071557971014492,2.75850168295524,0.1816076893352006,2026-09-19,441.3599853515625,0.5465243132854469,2.75850181817904,33.72435747174639,-0.00047562553881086433,0.0438435243119841,2026-09-11,,,,,,
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-04,15.760000228881836,12.0,31.882397636119816,0.5063381707594277,1.3405797101449273,0.3156529091903717,0.0387864794332559,2026-09-19,15.380000114440918,0.5045679537648124,0.31565279935967516,31.251163268013446,-0.024111682038210125,0.0095177421543042,2026-09-14,,,,,,
AMAT,"Applied Materials, Inc.",Technology,United States,open,USD,True,2026-09-04,435.9100036621094,0.0889374145585179,33.333333333333336,0.4040580696419957,1.2980072463768115,1.2512716730733993,0.1816076893352006,2026-09-19,444.57000732421875,0.3754223063908788,1.2512718417833768,34.410708843732536,0.019866494435447857,0.0617024105253054,2026-09-11,,,,,,
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-04,2355.5,2.0,25.92221792153817,0.7260147095374525,1.1760416666666669,0.5042053470821488,0.1038608722753562,2026-09-19,2383.5,0.6919583057576222,0.5042053470821488,26.552665473251945,0.011887072808320909,0.011887072808320909,2026-09-19,,,,,,
GOOGL,Alphabet Inc.,Communication Services,United States,open,USD,True,2026-09-04,342.4800109863281,0.1131999166732383,33.333333333333336,0.4423730275163995,1.3724999999999998,0.3986589261220739,0.0059510622336763,2026-09-19,349.5400085449219,0.3671962810374052,0.3986588319532509,34.4359412757657,0.02061433465346263,0.0372575882933974,2026-09-18,,,,,,
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-04,114.5,10.0,31.07022584990411,0.6797325827921532,1.2729211087420045,0.1097823325195554,0.0078671773248266,2026-09-19,115.0,0.6472393940244743,0.10978233251955549,31.487870877268627,0.004366812227074135,0.004366812227074135,2026-09-19,,,,,,
HCSG,"Healthcare Services Group, Inc.",Healthcare,United States,open,USD,True,2026-09-04,21.709999084472656,1.7857535854817292,33.333333333333336,0.7793119484357436,1.1802083333333333,0.3065953577423339,0.1038608722753562,2026-09-19,21.469999313354492,0.92575182702009,0.30659535774233393,33.36741172417794,-0.011054803373520938,0.0267158846390516,2026-09-16,,,,,,
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-04,488.5,2.0,26.511450354022983,0.4941600895564004,1.221467391304348,0.6979320984207729,0.1816076893352006,2026-09-19,518.0,0.3505082364678638,0.6979320984207729,28.366464546826343,0.060388945752303025,0.0747185261003071,2026-09-17,,,,,,
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-04,36.58000183105469,0.911244714729208,33.333333333333336,0.4158053339216616,1.1806596701649177,0.7311927981312882,0.1202814048203118,2026-09-19,39.31999969482422,0.2925911383458766,0.7311927981312882,35.83014190506264,0.0749042571518792,0.1159102693146936,2026-09-18,,,,,,
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Brazil,open,BRL,False,2026-09-04,17.350000381469727,11.0,32.17404628949172,0.6123487982909921,1.2059075342465757,0.2682495170027918,0.1916210237806628,2026-09-19,17.59000015258789,0.5923100478952805,0.2682496115739479,32.763261747878566,0.01383283952976111,0.0230547325496017,2026-09-17,,,,,,
FHI,"Federated Hermes, Inc.",Financial Services,United States,open,USD,True,2026-09-04,62.15999984741211,0.6236922265294399,33.333333333333336,0.5710471437130482,1.2410102739726028,0.2584817680613112,0.1916210237806628,2026-09-19,57.099998474121094,0.6303774331401886,0.2584817680613112,30.99383999634725,-0.08140285369549716,-0.0188223644114764,2026-09-11,,,,,,
BVS,Bioventus Inc.,Healthcare,United States,open,USD,True,2026-09-04,14.359999656677246,2.6997708657935147,33.333333333333336,0.4890906032634883,1.0395833333333335,1.040358669922274,0.1038608722753562,2026-09-19,12.90999984741211,0.5421633906954273,1.040358669922274,30.333470564335116,-0.10097491949388049,-0.0752089101341911,2026-09-16,,,,,,
GEO,"The GEO Group, Inc.",Industrials,United States,open,USD,True,2026-09-04,30.8799991607666,1.2554633989484754,33.333333333333336,0.51780102397793,1.0805847076461768,0.5524646081636571,0.1202814048203118,2026-09-19,31.760000228881836,0.4721018706803446,0.5524646081636571,34.70192060319235,0.028497444690130935,0.0408031173291831,2026-09-18,,,,,,
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-04,2912.0,2.0,32.04648634579459,0.5475122299848698,1.077294685990338,0.4504489786074388,0.0387864794332559,2026-09-19,2848.5,0.5417972815840524,0.4504489786074388,31.73285823392413,-0.02180631868131866,-0.0053228021978022,2026-09-17,,,,,,
9939.TW,"Taiwan Hon Chuan Enterprise Co., Ltd.",Consumer Cyclical,Taiwan,open,TWD,False,2026-09-04,131.5,6.0,21.409963489584577,0.5266101417513196,1.068230277185501,0.0840890081749621,0.0078671773248266,2026-09-19,127.0,0.599381016071806,0.08408900817496212,20.86413705085104,-0.034220532319391594,-0.0152091254752851,2026-09-11,,,,,,
2006.TW,Tung Ho Steel Enterprise Corporation,Basic Materials,Taiwan,open,TWD,False,2026-09-11,82.30000305175781,1.0,2.239577680180807,0.6982573012455022,1.0926573426573427,0.4120969916689139,0.2669720960973309,2026-09-19,87.5999984741211,0.6011941302353079,0.4120969916689139,2.398554296349612,0.06439848391050673,0.0729040070171886,2026-09-18,,,,,,
