ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count,entry_note_qualite,entry_note_qualite_low_confidence,entry_note_perspective,entry_note_perspective_low_confidence
2303.TW,United Microelectronics Corporation,Technology,Taiwan,closed,TWD,False,2026-09-11,140.5,8.0,30.60252109227737,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-24,154.5,0.396842451460069,1.880521224401695,34.08526734965547,0.0996441281138789,0.188612099644128,2026-09-22,2026-09-24,154.5,trailing_stop,33.08526734965547,0.0669670817690811,13.0,0,13.6,False,17.8,False
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156529091903717,0.0287883243168445,2026-09-24,15.40999984741211,0.49656108169393987,0.31565283426487234,31.357785870027083,-0.020965687960909807,0.0095298967208266,2026-09-14,,,,,,,0,15.5,False,14.8,False
DINO,HF Sinclair Corporation,Energy,United States,open,USD,True,2026-09-11,107.72000122070312,0.3591507009146113,33.333333333333336,0.4192315086601654,1.0533333333333337,1.0046726232339842,0.4472449067977305,2026-09-24,106.45999908447266,0.5675465203650676,1.004672472361337,33.608725447325405,-0.011697011900778764,0.0873096794719427,2026-09-18,,,,,,,0,12.8,False,17.1,False
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,2.0,25.03309916742114,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-24,2359.0,0.714048648327879,0.5042053470821488,26.121282444853012,0.052889979915197394,0.0638250390537826,2026-09-23,,,,,,,0,13.6,False,16.2,False
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,2.0,31.00506591814044,0.6286270609689923,1.0755813953488371,0.4504491467880718,0.0287883243168445,2026-09-24,2821.0,0.5543512871180021,0.4504489786074388,31.237023220402858,0.01657657657657663,0.0434234234234234,2026-09-17,,,,,,,0,11.9,False,17.7,False
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.98597829499681,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-24,1210.0,0.5545809874610723,0.9329979807476805,33.402347852807125,-0.05836575875486383,0.0,2026-09-11,,,,,,,0,14.1,False,15.4,False
AMN,"AMN Healthcare Services, Inc.",Healthcare,United States,open,USD,True,2026-09-11,33.04999923706055,1.1705813868085035,33.333333333333336,0.3596623451013359,0.8582995951417003,0.770661038149336,0.1051716622566714,2026-09-24,34.345001220703125,0.3339706251850998,0.770661038149336,35.33898054133312,0.03918311689975562,0.0659606764145168,2026-09-16,,,,,,,0,12.0,False,17.2,False
FRSH,Freshworks Inc.,Technology,United States,open,USD,True,2026-09-11,11.869999885559082,3.2592851149059725,33.333333333333336,0.6820447111713379,1.2220744680851063,0.1826677599754977,0.1816076893352006,2026-09-24,12.890000343322754,0.6358720078892464,0.18266775997549778,36.9287109830869,0.0859309576746159,0.0888795547891523,2026-09-24,,,,,,,0,14.8,False,14.0,False
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-11,39.58000183105469,0.8421761442966842,33.333333333333336,0.2897915754934086,1.1806569343065694,0.7311927981312882,0.1194109799406772,2026-09-24,38.540000915527344,0.34810525505416123,0.7311927981312882,32.4574693722295,-0.026275918833115197,0.0591206728053925,2026-09-23,,,,,,,0,13.2,False,15.6,False
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.856662199296776,1.1132204680314053,13.29325776016892,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-24,12.699999809265137,0.6557732816554174,0.3953662120035093,12.427213618218033,-0.083473377166569,0.0704325961621037,2026-09-14,,,,,,,1,14.9,False,13.8,False
2303.TW,United Microelectronics Corporation,Technology,Taiwan,open,TWD,False,2026-09-24,154.5,7.0,29.824608930948536,0.3921124710021362,1.2289803220035778,1.880521224401695,0.1760461336247574,2026-09-24,154.0,0.431407918238796,1.880521224401695,29.758455359773617,-0.003236245954692518,0.0,2026-09-24,,,,,,,0,13.4,False,17.2,False
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-24,113.5,1.0,3.129998255813831,0.6873464502109707,1.2710970464135023,0.1097823325195554,0.0049086485502458,2026-09-24,114.0,0.6600001678121994,0.10978233251955549,3.146998062165299,0.004405286343612369,0.004405286343612369,2026-09-24,,,,,,,0,14.4,False,14.2,False
