ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,entry_note_qualite,entry_note_qualite_low_confidence,entry_note_perspective,entry_note_perspective_low_confidence
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-03,1375.0,1.0,37.27499408477877,0.3720246207343001,1.3473032069970845,0.9329979807476804,0.120087455077752,2026-09-25,1210.0,0.5437908631253252,0.9329979807476805,33.4346517246617,-0.12,-0.0654545454545454,2026-09-11,,,,,,,17.9,False,15.0,False
WDC,Western Digital Corporation,Technology,United States,open,USD,True,2026-09-03,429.3500061035156,0.0902542907576815,33.333333333333336,0.551503668108833,1.4069148936170213,2.758501443746765,0.1816076893352006,2026-09-25,457.0,0.45489314875704157,2.758501578893756,36.17292484277616,0.06439965879450349,0.1032723784967184,2026-09-24,,,,,,,17.6,False,15.4,False
GOOGL,Alphabet Inc.,Communication Services,United States,open,USD,True,2026-09-03,342.44000244140625,0.1131604953025589,33.333333333333336,0.4522734368916101,1.3737623762376237,0.3986588381599265,0.0100046117589944,2026-09-25,344.2349853515625,0.35705607375103243,0.3986589199719379,34.16248188615333,0.005241744239455226,0.0565500236430132,2026-09-22,,,,,,,17.8,False,14.8,False
AMAT,"Applied Materials, Inc.",Technology,United States,open,USD,True,2026-09-03,428.0400085449219,0.0905305100320131,33.333333333333336,0.4302129330435307,1.2983156028368794,1.2512718417833768,0.1816076893352006,2026-09-25,483.7799987792969,0.3230400464558383,1.2512716730733993,38.40983525344366,0.13022144921419243,0.1326160709224966,2026-09-25,,,,,,,15.6,False,15.6,False
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-03,1035.0,1.0,28.057904638360743,0.5913702605852449,1.4274781341107872,0.2210448961994704,0.120087455077752,2026-09-25,1285.0,0.38712723866065035,0.22104489619947043,35.50704749271924,0.24154589371980673,0.24154589371980673,2026-09-25,,,,,,,18.4,False,12.5,False
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-03,114.0,10.0,30.90435873210749,0.6849175326235042,1.2698744769874477,0.1097823325195554,0.0049086485502458,2026-09-25,114.0,0.6565771070896647,0.10978233251955549,31.500415674474656,0.0,0.0087719298245614,2026-09-22,,,,,,,16.7,False,14.2,False
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-03,2417.0,2.0,26.75196507663848,0.6891214388314522,1.1804435483870968,0.5042053470821488,0.0996341458464332,2026-09-25,2399.0,0.7018493861380835,0.5042053470821488,26.78441796682478,-0.007447248655357841,-0.0059991725279271,2026-09-25,,,,,,,14.6,False,16.1,False
AMZN,"Amazon.com, Inc.",Consumer Cyclical,United States,open,USD,True,2026-09-03,254.97999572753903,0.1519753742920538,33.333333333333336,0.4065869501120358,1.2798117154811717,0.1830850314182188,0.0049086485502458,2026-09-25,249.42999267578125,0.4514143224677165,0.18308503141821886,33.24462694143724,-0.021766425385340016,0.0142952558378575,2026-09-21,,,,,,,15.7,False,14.4,False
JAZZ,Jazz Pharmaceuticals plc,Healthcare,Ireland,open,USD,True,2026-09-03,244.47999572753903,0.1585024581351219,33.333333333333336,0.3760167943859536,1.1108870967741935,0.9019725862778568,0.0996341458464332,2026-09-25,237.02000427246094,0.3591065160611713,0.9019725862778569,32.94735623911452,-0.030513709037331194,0.0113097162875033,2026-09-14,,,,,,,12.9,False,17.2,False
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-03,487.5,2.0,26.43135944193404,0.4920487972093104,1.221187943262411,0.6979320984207729,0.1816076893352006,2026-09-25,538.0,0.31879218408078214,0.6979320984207729,29.73197128573222,0.10358974358974349,0.1138461538461539,2026-09-24,,,,,,,15.2,False,14.8,False
7269.T,Suzuki Motor Corporation,Consumer Cyclical,Japan,open,JPY,False,2026-09-03,2108.5,2.0,23.33740933557808,0.3339819168275166,1.1302301255230127,0.0437389453488024,0.0049086485502458,2026-09-25,1989.5,0.27470931669069065,0.043738945348802405,22.212421652771113,-0.05643822622717576,-0.020867915579796,2026-09-14,,,,,,,14.1,False,15.7,False
