timestamp,cash_eur,total_equity_eur,n_open,n_closed
2026-09-07T08:50:35Z,0.0,500.0,16,0
2026-09-07T10:04:10Z,0.0,500.03999595281834,16,0
2026-09-07T10:50:53Z,0.0,499.8450845729743,16,0
2026-09-07T12:01:46Z,0.0,499.6996546923122,16,0
2026-09-07T15:50:13Z,0.0,499.6356601353638,16,0
2026-09-07T17:09:44Z,0.0,499.55464545774754,16,0
2026-09-07T18:06:54Z,0.0,499.55464545774754,16,0
2026-09-07T19:02:53Z,0.0,499.68266466741477,16,0
2026-09-07T20:02:45Z,0.0,499.7390090364082,16,0
2026-09-07T20:56:23Z,0.0,499.72000479923236,16,0
2026-09-07T22:03:44Z,0.0,499.63222745014457,16,0
2026-09-07T23:02:04Z,0.0,499.59848300426563,16,0
2026-09-08T00:24:47Z,0.0,499.4607825679278,16,0
2026-09-08T01:27:33Z,0.0,498.9930571255069,16,0
2026-09-08T02:02:37Z,0.0,499.0132681539401,16,0
2026-09-08T03:22:47Z,0.0,498.5805756639636,16,0
2026-09-08T04:02:33Z,0.0,498.51906036115304,16,0
2026-09-08T05:02:21Z,0.0,498.1010408747874,16,0
2026-09-08T05:21:30Z,0.0,498.1824400537961,16,0
2026-09-08T06:06:15Z,0.0,497.642890508339,16,0
2026-09-08T07:12:29Z,0.0,497.65469722536085,16,0
2026-09-08T08:01:37Z,0.0,498.4191761557682,16,0
2026-09-08T08:53:28Z,0.0,498.3647938231394,16,0
2026-09-08T09:53:15Z,0.0,498.30896129559153,16,0
2026-09-08T10:04:51Z,0.0,498.4478263323472,16,0
2026-09-08T10:53:10Z,0.0,498.3502697122814,16,0
