ticker,name,sector,market
CVS,CVS Health,Health Care,S&P 500
DHR,Danaher Corporation,Health Care,S&P 500
DRI,Darden Restaurants,Consumer Discretionary,S&P 500
DDOG,Datadog,Information Technology,S&P 500
DVA,DaVita,Health Care,S&P 500
DECK,Deckers Brands,Consumer Discretionary,S&P 500
DE,Deere & Company,Industrials,S&P 500
DELL,Dell Technologies,Information Technology,S&P 500
DAL,Delta Air Lines,Industrials,S&P 500
DVN,Devon Energy,Energy,S&P 500
DXCM,Dexcom,Health Care,S&P 500
FANG,Diamondback Energy,Energy,S&P 500
DLR,Digital Realty,Real Estate,S&P 500
DG,Dollar General,Consumer Staples,S&P 500
DLTR,Dollar Tree,Consumer Staples,S&P 500
D,Dominion Energy,Utilities,S&P 500
DPZ,Domino's,Consumer Discretionary,S&P 500
DASH,DoorDash,Consumer Discretionary,S&P 500
DOV,Dover Corporation,Industrials,S&P 500
DOW,Dow Inc.,Materials,S&P 500
DHI,D. R. Horton,Consumer Discretionary,S&P 500
DTE,DTE Energy,Utilities,S&P 500
DUK,Duke Energy,Utilities,S&P 500
DD,DuPont,Materials,S&P 500
ETN,Eaton Corporation,Industrials,S&P 500
EBAY,eBay Inc.,Consumer Discretionary,S&P 500
ECHO,EchoStar,Communication Services,S&P 500
ECL,Ecolab,Materials,S&P 500
EIX,Edison International,Utilities,S&P 500
EW,Edwards Lifesciences,Health Care,S&P 500
ELV,Elevance Health,Health Care,S&P 500
EME,Emcor,Industrials,S&P 500
EMR,Emerson Electric,Industrials,S&P 500
ETR,Entergy,Utilities,S&P 500
EOG,EOG Resources,Energy,S&P 500
EQT,EQT Corporation,Energy,S&P 500
EFX,Equifax,Industrials,S&P 500
EQIX,Equinix,Real Estate,S&P 500
EQR,Equity Residential,Real Estate,S&P 500
ERIE,Erie Indemnity,Financials,S&P 500
ESS,Essex Property Trust,Real Estate,S&P 500
EL,Estée Lauder Companies (The),Consumer Staples,S&P 500
EG,Everest Group,Financials,S&P 500
EVRG,Evergy,Utilities,S&P 500
ES,Eversource Energy,Utilities,S&P 500
EXC,Exelon,Utilities,S&P 500
EXE,Expand Energy,Energy,S&P 500
EXPE,Expedia Group,Consumer Discretionary,S&P 500
EXPD,Expeditors International,Industrials,S&P 500
EXR,Extra Space Storage,Real Estate,S&P 500
XOM,ExxonMobil,Energy,S&P 500
FFIV,"F5, Inc.",Information Technology,S&P 500
FDS,FactSet,Financials,S&P 500
FICO,Fair Isaac,Information Technology,S&P 500
FAST,Fastenal,Industrials,S&P 500
FRT,Federal Realty Investment Trust,Real Estate,S&P 500
FDX,FedEx,Industrials,S&P 500
FDXF,FedEx Freight,Industrials,S&P 500
FERG,Ferguson Enterprises,Industrials,S&P 500
FIS,Fidelity National Information Services,Financials,S&P 500
FITB,Fifth Third Bancorp,Financials,S&P 500
FSLR,First Solar,Information Technology,S&P 500
FE,FirstEnergy,Utilities,S&P 500
FISV,Fiserv,Financials,S&P 500
FLEX,Flex Ltd.,Information Technology,S&P 500
F,Ford Motor Company,Consumer Discretionary,S&P 500
FTNT,Fortinet,Information Technology,S&P 500
FTV,Fortive,Industrials,S&P 500
FOXA,Fox Corporation (Class A),Communication Services,S&P 500
FOX,Fox Corporation (Class B),Communication Services,S&P 500
BEN,Franklin Resources,Financials,S&P 500
FCX,Freeport-McMoRan,Materials,S&P 500
GRMN,Garmin,Consumer Discretionary,S&P 500
IT,Gartner,Information Technology,S&P 500
GE,GE Aerospace,Industrials,S&P 500
GEHC,GE HealthCare,Health Care,S&P 500
GEV,GE Vernova,Industrials,S&P 500
GEN,Gen Digital,Information Technology,S&P 500
GNRC,Generac,Industrials,S&P 500
GD,General Dynamics,Industrials,S&P 500
GIS,General Mills,Consumer Staples,S&P 500
GM,General Motors,Consumer Discretionary,S&P 500
GPC,Genuine Parts Company,Consumer Discretionary,S&P 500
GILD,Gilead Sciences,Health Care,S&P 500
GPN,Global Payments,Financials,S&P 500
GL,Globe Life,Financials,S&P 500
GDDY,GoDaddy,Information Technology,S&P 500
GS,Goldman Sachs,Financials,S&P 500
HAL,Halliburton,Energy,S&P 500
HIG,Hartford (The),Financials,S&P 500
HAS,Hasbro,Consumer Discretionary,S&P 500
HCA,HCA Healthcare,Health Care,S&P 500
DOC,Healthpeak Properties,Real Estate,S&P 500
HSIC,Henry Schein,Health Care,S&P 500
HSY,Hershey Company (The),Consumer Staples,S&P 500
HPE,Hewlett Packard Enterprise,Information Technology,S&P 500
HLT,Hilton Worldwide,Consumer Discretionary,S&P 500
HD,Home Depot (The),Consumer Discretionary,S&P 500
