ticker,name,sector,market
MOWI.OL,Mowi,n/a (Oslo),Euronext 100
NN.AS,Nationale-Nederlanden,n/a (Amsterdam),Euronext 100
NHY.OL,Norsk Hydro ASA,n/a (Oslo),Euronext 100
ORA.PA,Orange,n/a (Paris),Euronext 100
RI.PA,Pernod Ricard,n/a (Paris),Euronext 100
PST.MI,Poste italiane,n/a (Milan),Euronext 100
PRX.AS,Prosus,n/a (Amsterdam),Euronext 100
PRY.MI,Prysmian,n/a (Milan),Euronext 100
PUB.PA,Publicis,n/a (Paris),Euronext 100
REC.MI,Recordati,n/a (Milan),Euronext 100
RNO.PA,Renault,n/a (Paris),Euronext 100
RYA.IR,Ryanair,n/a (Dublin),Euronext 100
SAF.PA,Safran,n/a (Paris),Euronext 100
SGO.PA,Saint-Gobain,n/a (Paris),Euronext 100
SAN.PA,Sanofi,n/a (Paris),Euronext 100
DIM.PA,Sartorius Stedim Biotech,n/a (Paris),Euronext 100
SU.PA,Schneider Electric,n/a (Paris),Euronext 100
SHEEL.AS,Shell,n/a (Amsterdam),Euronext 100
SRG.MI,Snam,n/a (Milan),Euronext 100
GLE.PA,Société Générale,n/a (Paris),Euronext 100
SW.PA,Sodexo,n/a (Paris),Euronext 100
STLAM.MI,Stellantis,n/a (Milan),Euronext 100
STMPA.PA,STMicroelectronics,n/a (Paris),Euronext 100
TEL.OL,Telenor,n/a (Oslo),Euronext 100
TEN.MI,Tenaris,n/a (Milan),Euronext 100
TRN.MI,Terna,n/a (Milan),Euronext 100
HO.PA,Thales,n/a (Paris),Euronext 100
TTE.PA,TotalEnergies,n/a (Paris),Euronext 100
UCB.BR,UCB,n/a (Brussels),Euronext 100
URW.PA,Unibail-Rodamco-Westfield,n/a (Paris),Euronext 100
UCG.MI,Unicredit,n/a (Milan),Euronext 100
VIE.PA,Veolia Environnement,n/a (Paris),Euronext 100
DG.PA,Vinci,n/a (Paris),Euronext 100
VIV.PA,Vivendi,n/a (Paris),Euronext 100
WKL.AS,Wolters Kluwer,n/a (Amsterdam),Euronext 100
