ticker,periode,strategie,CAGR,Vol_annualisee,Sharpe,Max_Drawdown,Profit_Factor,Win_Rate,Nb_Trades,Rendement_total
BTC-USD,2017-08 -> 2022-02 (1re moitie),Buy & Hold,0.8038859161498466,0.6586172694574234,0.9511854469106255,-0.8339900882218974,,,0,13.252968184909044
BTC-USD,2017-08 -> 2022-02 (1re moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",1.3225947251027024,0.5127117098121767,1.3859851713363625,-0.5954552764479848,3.4190459991021056,0.5357142857142857,56,43.48956737018866
BTC-USD,2017-08 -> 2022-02 (1re moitie),RSI(2) Mean Reversion (Connors),-0.07068605258378768,0.18625860521529386,-0.17660418326181962,-0.5311429112587595,0.7829537408949454,0.7096774193548387,31,-0.28119482584904
BTC-USD,2022-02 -> 2026-08 (2e moitie),Buy & Hold,0.11875552359270003,0.4227614102001645,0.3943965550747594,-0.6673961608979899,,,0,0.6586650424599916
BTC-USD,2022-02 -> 2026-08 (2e moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.0693220305180462,0.33758887916998004,0.3045496832479244,-0.4396611316491674,1.2952687442792137,0.3150684931506849,73,0.35287379492034243
BTC-USD,2022-02 -> 2026-08 (2e moitie),RSI(2) Mean Reversion (Connors),-0.017020063991389667,0.13762525398511674,-0.017436294903616825,-0.2049988681491942,0.9439620925720389,0.5555555555555556,36,-0.07448800679739831
ETH-USD,2017-08 -> 2022-02 (1re moitie),Buy & Hold,0.6677284128739525,0.82005150732613,0.8481861947013283,-0.9396254038538314,,,0,7.701328717331416
ETH-USD,2017-08 -> 2022-02 (1re moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",2.664750647335223,0.6727545669359922,1.6645892398812425,-0.4558239889544381,5.250197482889634,0.5510204081632653,49,242.16236452497373
ETH-USD,2017-08 -> 2022-02 (1re moitie),RSI(2) Mean Reversion (Connors),0.020009921234625416,0.2819181580165466,0.19700609366245875,-0.32389949358972325,1.2610408992055409,0.6875,32,0.08741775157162879
ETH-USD,2022-02 -> 2026-08 (2e moitie),Buy & Hold,-0.08160555473687825,0.5708301890531506,0.18142827354019317,-0.717943870782727,,,0,-0.31877590824894864
ETH-USD,2022-02 -> 2026-08 (2e moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.23222547146522543,0.4389241614855667,0.5456071964565654,-0.540884668259666,1.5771099289534267,0.375,64,1.564152307480847
ETH-USD,2022-02 -> 2026-08 (2e moitie),RSI(2) Mean Reversion (Connors),0.06558323677146216,0.1587883485202674,0.3547220335903599,-0.3387088289416288,1.6767219137290696,0.7,30,0.3316746213433479
SPY,2017-08 -> 2022-02 (1re moitie),Buy & Hold,0.1641330699239516,0.19877693164243435,0.8654193353976363,-0.33717269301235486,,,0,0.9827149870338978
SPY,2017-08 -> 2022-02 (1re moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.06249734161013043,0.15374512182549585,0.47122356591521913,-0.20287120105745582,1.6831595833358426,0.425531914893617,47,0.3139367110352982
SPY,2017-08 -> 2022-02 (1re moitie),RSI(2) Mean Reversion (Connors),0.015294809088953087,0.05997113157323448,0.28341677084731964,-0.11519955764753653,1.3015699549025246,0.71875,32,0.0707536474202437
SPY,2022-02 -> 2026-08 (2e moitie),Buy & Hold,0.1396959669594131,0.17514923224516338,0.8375764103835599,-0.2209486045836505,,,0,0.8033303667092506
SPY,2022-02 -> 2026-08 (2e moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.030784948879981844,0.14556794855182115,0.2820803669907994,-0.19634569920884748,1.2662466720864272,0.40384615384615385,52,0.14651036303075737
SPY,2022-02 -> 2026-08 (2e moitie),RSI(2) Mean Reversion (Connors),0.06285566364155093,0.054860783849547935,1.1438889583790774,-0.0540036794231461,3.358757148826249,0.868421052631579,38,0.31637291822020486
AAPL,2017-08 -> 2022-02 (1re moitie),Buy & Hold,0.4233688755553542,0.3185223537639775,1.269318919720072,-0.3851590339381642,,,0,3.903495294932255
AAPL,2017-08 -> 2022-02 (1re moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.2829014250626962,0.2582907924608785,1.094438992933515,-0.26795931667051975,2.6547025848818087,0.45454545454545453,44,2.0709807382592746
AAPL,2017-08 -> 2022-02 (1re moitie),RSI(2) Mean Reversion (Connors),0.04097608779373996,0.16043908497371487,0.3310594532517784,-0.19033430155441178,1.433178657832863,0.7352941176470589,34,0.19825444059263497
AAPL,2022-02 -> 2026-08 (2e moitie),Buy & Hold,0.14342831301763814,0.2836240801986739,0.6160924736033,-0.3336051402453709,,,0,0.8301138304751319
AAPL,2022-02 -> 2026-08 (2e moitie),"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.058874197271646,0.21947075103049501,0.37176002705960737,-0.3288175751056365,1.3669564683463145,0.41304347826086957,46,0.2942828986004762
AAPL,2022-02 -> 2026-08 (2e moitie),RSI(2) Mean Reversion (Connors),-0.003182136610138442,0.09184454756297344,0.011131249675570562,-0.18581332729172606,1.0018944232309108,0.6285714285714286,35,-0.014269114556674789
