asset_class,ticker,strategy,CAGR,Vol_annualisee,Sharpe,Max_Drawdown,Profit_Factor,Win_Rate,Nb_Trades,Rendement_total
crypto,BTC-USD,Buy & Hold,0.4203949073818545,0.5534357610275987,0.7163645351199693,-0.8339900882218974,,,0,22.640900079603067
crypto,BTC-USD,Golden Cross (SMA50/SMA200),0.04966660619340568,0.4946324277820652,0.31673101519380625,-0.7605441754837362,2.183465725633743,0.4444444444444444,18,0.5478761082583259
crypto,BTC-USD,"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.5648861052750009,0.4354975675258156,0.9238188888174095,-0.5954552764479848,2.2098190598414122,0.4076923076923077,130,55.60747941508701
crypto,BTC-USD,RSI(2) Mean Reversion (Connors),-0.044213348712305756,0.1637207298974666,-0.10772978189438602,-0.5861277464246188,0.8467342796442872,0.6268656716417911,67,-0.33473719069708874
crypto,ETH-USD,Buy & Hold,0.22585074428467067,0.702720906418993,0.5551308280346177,-0.9396254038538314,,,0,4.927554752491434
crypto,ETH-USD,Golden Cross (SMA50/SMA200),0.1357869780711205,0.603637403330077,0.4523448795819199,-0.899980155927055,5.507891619587853,0.47058823529411764,17,2.0426474139811357
crypto,ETH-USD,"Donchian Breakout (Turtle 20/10, stop 2xATR)",1.0530983619377032,0.5655928943911892,1.156712049849049,-0.5408853737572005,2.9328585584609224,0.4473684210526316,114,536.300818722648
crypto,ETH-USD,RSI(2) Mean Reversion (Connors),0.04327592949276493,0.22685263213613469,0.24661481907840252,-0.33870882894286936,1.3974332118759478,0.6935483870967742,62,0.44808662256346765
equity,AAPL,Buy & Hold,0.27565816337608706,0.3016216355258936,0.9603906122579746,-0.3851590339381642,,,0,7.973954556925255
equity,AAPL,Golden Cross (SMA50/SMA200),-0.03749378616603194,0.306412377745294,0.029181695430635486,-0.70295041999835,1.499748642100626,0.2727272727272727,11,-0.29137569500840255
equity,AAPL,"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.1544098736584396,0.24082391430139022,0.7183482287468845,-0.3288175751385809,1.848725211626734,0.42857142857142855,91,2.6479701229044013
equity,AAPL,RSI(2) Mean Reversion (Connors),0.02728399439951823,0.13346590278172316,0.26920684726176075,-0.19033430155441178,1.3263097615838233,0.7027027027027027,74,0.27457890844991484
equity,MSFT,Buy & Hold,0.2523449013604224,0.28749368546591997,0.9284928013572462,-0.371484710068853,,,0,6.599524989438926
equity,MSFT,Golden Cross (SMA50/SMA200),0.12279592129609829,0.26428579599490226,0.5719618512304668,-0.47514931278737105,4.5337349093483095,0.4,10,1.8402828321043803
