bot,checkin_date,days_running,n_closed_raw,n_closed_clean,win_rate_clean,avg_return_clean,avg_win_clean,avg_loss_clean,total_equity_eur,total_return_pct,n_artifacts_excluded,threshold_reached
bot1_blind,2026-08-28,21,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-08-28,10,0,0,,,,,497.2928663266,-0.0054142673,0,False
bot3_large,2026-08-28,2,0,0,,,,,500.0,4.440892099e-16,0,False
bot1_blind,2026-08-28,21,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-08-28,10,0,0,,,,,498.0772769504,-0.0038454461,0,False
bot3_large,2026-08-28,2,0,0,,,,,502.972143389,0.0059442868,0,False
bot1_blind,2026-08-28,21,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-08-28,10,0,0,,,,,494.5326009019,-0.0109347982,0,False
bot3_large,2026-08-28,2,0,0,,,,,502.7612912533,0.0055225825,0,False
bot1_blind,2026-08-28,21,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-08-28,10,0,0,,,,,494.5326009019,-0.0109347982,0,False
bot3_large,2026-08-28,2,0,0,,,,,502.7612912533,0.0055225825,0,False
bot1_blind,2026-08-31,24,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-08-31,13,0,0,,,,,487.729360217,-0.0245412796,0,False
bot3_large,2026-08-31,5,0,0,,,,,504.4175889457,0.0088351779,0,False
bot1_blind,2026-09-01,25,16,9,0.4444444444444444,0.03209155774396208,0.10760787202411191,-0.0283214936801578,,,7,False
bot2_constrained,2026-09-01,14,0,0,,,,,481.2086533538,-0.0375826933,0,False
bot3_large,2026-09-01,6,0,0,,,,,503.5290109157,0.0070580218,0,False
bot4_blind_newsgated,2026-09-01,0,0,0,,,,,,,0,False
bot5_constrained_newsgated,2026-09-01,0,0,0,,,,,500.0400528017,8.01056e-05,0,False
bot6_large_newsgated,2026-09-01,0,0,0,,,,,500.0120677247,2.41354e-05,0,False
bot1_blind,2026-09-02,26,21,14,0.42857142857142855,0.002818073352657787,0.08106721178486108,-0.05586878047149468,,,7,False
bot2_constrained,2026-09-02,15,0,0,,,,,481.3399326106,-0.0373201348,0,False
bot3_large,2026-09-02,7,1,1,0.0,-0.0113196306225796,,-0.0113196306225796,504.844766591,0.0096895332,0,False
bot4_blind_newsgated,2026-09-02,0,2,2,0.0,-0.0262083953578255,,-0.0262083953578255,,,0,False
bot5_constrained_newsgated,2026-09-02,0,0,0,,,,,500.0,0.0,0,False
bot6_large_newsgated,2026-09-02,0,0,0,,,,,500.0,0.0,0,False
bot1_blind,2026-09-02,26,22,15,0.4,0.002072488420652101,0.08106721178486108,-0.05059066048882055,,,7,False
bot2_constrained,2026-09-02,15,0,0,,,,,481.7765248231,-0.0364469504,0,False
bot3_large,2026-09-02,7,2,2,0.0,-0.0056598153112898,,-0.0056598153112898,504.5322013653,0.0090644027,0,False
bot4_blind_newsgated,2026-09-02,0,3,0,,,,,,,3,False
bot5_constrained_newsgated,2026-09-02,0,1,1,0.0,0.0,,0.0,499.7786680962,-0.0004426638,0,False
bot6_large_newsgated,2026-09-02,0,1,1,0.0,0.0,,0.0,499.8474504483,-0.0003050991,0,False
bot1_blind,2026-09-02,26,28,21,0.2857142857142857,-0.008080443438652442,0.08106721178486108,-0.043739505528057845,,,7,False
bot2_constrained,2026-09-02,15,0,0,,,,,473.695408461,-0.0526091831,0,False
bot3_large,2026-09-02,7,4,4,0.25,-0.0017174632872426002,0.0111562489028151,-0.0060087006839285,505.3588255645,0.0107176511,0,False
bot4_blind_newsgated,2026-09-02,0,11,6,0.16666666666666666,-0.009959747569769233,0.009573773088116,-0.01386645170134628,,,5,False
bot5_constrained_newsgated,2026-09-02,0,5,5,0.2,0.0011275947160164599,0.009573773088116,-0.000983949877008425,500.1536996817,0.0003073994,0,False
bot6_large_newsgated,2026-09-02,0,5,5,0.2,-0.0006133174224064401,0.009573773088116,-0.00316009005003705,500.2792422048,0.0005584844,0,False
