Date,Close,High,Low,Open,Volume
2012-01-03,99.05699920654297,99.74069052402149,99.00261520878092,99.25899945283537,193697900
2012-01-04,99.21238708496094,99.29784850543541,98.4432402281024,98.8239282382267,127186500
2012-01-05,99.4765625,99.62417879747561,98.22573013673339,98.67634394040715,173895000
2012-01-06,99.22013092041016,99.61636049592684,98.89382700053054,99.60081882693639,148050000
2012-01-09,99.46099090576172,99.5852887076412,98.98707071255846,99.44544923496878,99530200
2012-01-10,100.32341766357422,100.72740645801758,100.1835662694769,100.5254120607959,115282000
2012-01-11,100.37776184082031,100.50983642378337,99.84946350896806,100.01260958299531,111540700
2012-01-12,100.61860656738281,100.76622282643291,99.86499545368103,100.66523158720646,118983700
2012-01-13,100.09807586669922,100.26123380347892,99.22793181673701,99.94269469418076,179836200
2012-01-17,100.48655700683594,101.24794507420313,100.14471123860189,101.06148051294105,132209200
2012-01-18,101.5975341796875,101.6519122559089,100.28454132815568,100.46322908548838,163395200
2012-01-19,102.1336441040039,102.21910555703215,101.62087538583445,101.94717951880746,126328900
2012-01-20,102.51432037353516,102.51432037353516,101.71409583933826,101.96271527181696,138230200
2012-01-23,102.2501449584961,102.7473718414185,101.76068298529196,102.17244844201721,129295800
2012-01-24,102.1336441040039,102.16471560745613,101.46549415891793,101.62087538583445,103083300
2012-01-25,102.98823547363281,103.22907812713838,101.58201596394431,101.978239827309,198613200
2012-01-26,102.45991516113281,103.64082158834339,102.0559146177061,103.44659215369144,184880500
2012-01-27,102.41331481933594,102.59200260224301,101.89276943703314,101.96270105193189,135259100
2012-01-30,102.06368255615234,102.11807248978441,101.04592218514541,101.39553280692901,147311800
2012-01-31,102.02484130859375,102.69297917127493,101.527602584103,102.56868134497591,157212000
2012-02-01,102.9183120727539,103.43884562755326,102.65416283983949,102.77846069044121,166234500
2012-02-02,103.08145141601562,103.34561248640146,102.71631094440255,103.12029967826282,113090400
2012-02-03,104.5265121459961,104.58866699052366,103.92829399521406,104.10698176396555,160598500
2012-02-06,104.45659637451172,104.50320954597869,103.97491112958639,104.09144405825384,107694500
2012-02-07,104.72071838378906,104.8994179677657,103.82726788319314,104.23903326397092,135528100
2012-02-08,105.031494140625,105.05480072066084,104.34780284671514,104.7751099054088,139361400
2012-02-09,105.16355895996094,105.3422466752722,104.54202255539293,105.20240720802536,148602900
2012-02-10,104.38665771484375,104.47211913199939,103.9826572105787,104.2312765531488,167907500
2012-02-13,105.16355895996094,105.28786861183872,104.68187387746066,105.13248747440194,115841900
2012-02-14,105.031494140625,105.0936489723279,104.30118968664345,104.88387789718337,165329500
2012-02-15,104.54203796386719,105.52872670699139,104.33226687725784,105.37334554665296,195195100
2012-02-16,105.69967651367188,105.79290286270115,104.36337685506564,104.54984140794988,186567800
2012-02-17,105.9793472290039,106.15027007288458,105.62973663191103,106.06480865094424,129869400
2012-02-21,106.02598571777344,106.47659951791721,105.69968162556441,106.22798010204772,134042300
2012-02-22,105.68412017822266,106.08812072602178,105.49765565120212,105.86280794068564,124455300
2012-02-23,106.1502685546875,106.22795321136184,105.27234776502247,105.62973512115879,137704300
2012-02-24,106.38333892822266,106.59311003437682,106.15027309341107,106.38333892822266,105539100
2012-02-27,106.5620346069336,106.84949036247045,105.50542606044542,105.67634890287904,145728900
2012-02-28,106.872802734375,106.99711241830117,106.3833407631807,106.5931118729531,129355900
2012-02-29,106.45326232910156,107.36225457928161,106.08033331249732,107.02817381709315,185934700
2012-03-01,107.0048599243164,107.20686609154737,106.38332346059855,106.67855594819949,145023500
2012-03-02,106.6785888671875,107.07482456067473,106.43774622869759,106.93497318214227,120638300
2012-03-05,106.2435073852539,106.59311801848176,105.87835507693323,106.51543335266703,140765000
2012-03-06,104.68965911865234,105.21795745951111,104.38666169261317,105.1558144763233,202129900
2012-03-07,105.41998291015625,105.59090578221347,104.82951776856753,104.93052088064462,143692200
2012-03-08,106.46881103515625,106.68635892751432,105.84728627353296,106.0648223110661,116968900
2012-03-09,106.88057708740234,107.16025608769007,106.53873139173024,106.67080598236288,122836800
2012-03-12,106.8883056640625,107.02814511667295,106.5076118405902,106.86499908862743,104003500
2012-03-13,108.81507110595703,108.86946102524583,107.28454257071303,107.46324214424384,184090500
2012-03-14,108.69850158691406,109.118031710088,108.36442098556437,108.8461177697325,145163600
2012-03-15,109.32788848876953,109.37450166627546,108.58204208419531,108.86173300405734,165118500
2012-03-16,109.47928619384766,109.61973857614291,109.24518698324175,109.52610365461274,152893500
2012-03-19,109.90843200683594,110.24396497610545,109.330989054009,109.4090260689342,125291100
2012-03-20,109.58849334716797,109.72114674280051,108.96423296842117,109.28416804971066,121729700
2012-03-21,109.40898895263672,109.75232074421493,109.18268883019054,109.65088694735505,122388400
2012-03-22,108.62092590332031,108.8940436322655,108.26198410121108,108.60531611420848,135216700
2012-03-23,108.9720458984375,109.09690037157284,108.11369818588223,108.71454991941545,120521000
2012-03-26,110.50145721435547,110.50145721435547,109.71333586485449,109.7523424600255,120164000
