Date,Close,High,Low,Open,Volume
2012-01-03,20.87248992919922,21.020631294710284,20.57620422386895,20.700955630169883,64731500
2012-01-04,21.363689422607422,21.41826795402063,20.880278298244605,20.911465393129248,80516100
2012-01-05,21.582014083862305,21.620998340600963,21.277932717269387,21.348104081968156,56081400
2012-01-06,21.917278289794922,21.979653976488514,21.46505418947796,21.46505418947796,99455500
2012-01-09,21.628786087036133,21.90947737242696,21.613191796258107,21.870491645481888,59706800
2012-01-10,21.706762313842773,21.948467941994647,21.636589472257736,21.776935155427807,60014400
2012-01-11,21.613191604614258,21.815912921470836,21.340298954185602,21.387080338951456,65582400
2012-01-12,21.831512451171875,21.8471067455539,21.55861824810147,21.73015251199623,49370800
2012-01-13,22.02643394470215,22.02643394470215,21.667774141206202,21.776931214069563,60196100
2012-01-17,22.034236907958984,22.338318255300614,21.96406406054877,22.14339400963978,72395300
2012-01-18,22.010841369628906,22.143389891513667,21.808120013384354,22.073217057153872,64860600
2012-01-19,21.92507553100586,22.17457827885539,21.85490269727897,21.95626263091021,74053500
2012-01-20,23.164793014526367,23.188184455719647,22.41628474218629,22.470863284483535,165902900
2012-01-23,23.18038558959961,23.35191983798855,22.884101458892506,23.040039927155433,76078100
2012-01-24,22.87630271911621,23.055632614347733,22.751551358333106,22.97766264206991,51703300
2012-01-25,23.047840118408203,23.11801295890057,22.665788813035217,22.665788813035217,59231700
2012-01-26,23.001054763793945,23.15699471298618,22.92308478919783,23.086821884565033,49102800
2012-01-27,22.790542602539062,23.02445259123367,22.743761199661733,22.96207689167924,44187700
2012-01-30,23.086822509765625,23.094619656151743,22.478658476030862,22.587815551129303,51114800
2012-01-31,23.024457931518555,23.157006509709245,22.790547888570934,23.12581790912116,50572400
2012-02-01,23.305137634277344,23.429889007363485,23.203777701327482,23.22716914146376,67409900
2012-02-02,23.35192108154297,23.523453851912873,23.164792530216534,23.312935347035914,52223300
2012-02-03,23.578035354614258,23.702786746398946,23.461081110710353,23.500065362960356,41838500
2012-02-06,23.546844482421875,23.562437288534472,23.36751308416725,23.422093110599143,28039700
2012-02-07,23.663801193237305,23.77295828325955,23.429891231134736,23.50786121850226,39242400
2012-02-08,23.90550994873047,23.91330709720451,23.562442851642764,23.593631445538925,49659100
2012-02-09,23.991275787353516,24.014665744346956,23.765162955390718,23.921102942065332,50481600
2012-02-10,23.780757904052734,24.01466640332937,23.671600802677503,23.88991500542797,44605300
2012-02-13,23.843135833740234,23.991278690290965,23.726181573159806,23.882120091549005,33319800
2012-02-14,23.741106033325195,23.905919604610038,23.427174352108107,23.80389236956861,59644000
2012-02-15,23.584131240844727,23.85097345129812,23.56843578495156,23.803884089730996,43311300
2012-02-16,24.557327270507812,24.761381718729485,23.780344384438393,23.788192862746026,94705100
2012-02-17,24.52592658996582,24.58086442601634,24.29047829347965,24.486685706199378,70036500
2012-02-21,24.675048828125,24.808469951282873,24.44744747223168,24.470992904651546,50829900
2012-02-22,24.5416316986084,24.863411842656188,24.470996886798467,24.682901322228258,49253200
2012-02-23,24.6201171875,24.792779244594463,24.32972943558108,24.486696030717425,35034700
2012-02-24,24.706445693969727,24.7221426517454,24.518086691494506,24.706445693969727,35575400
2012-02-27,24.60441017150879,24.722134321268932,24.40820275626062,24.518078429777585,34568400
