sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Real Estate,2026-05-31,11.01688289642334,1.8728701281141305,33.333333333333336,BRL,0.10376047033774727,0,JHSF3.SA,0.10376047033774727,36.553950443628715
Financial Services,2026-05-31,28.13751983642578,3.0826314497212977,33.333333333333336,HKD,0.09817779954181627,0,2628.HK,0.059084077427555615,35.59807114025387
Basic Materials,2026-06-30,46.0099983215332,40.28175531923221,33.333333333333336,USD,0.13649212830018786,0,CENX,-0.04259941656105981,31.396831508917607
Energy,2026-06-30,72.5999984741211,63.561301486561874,33.333333333333336,USD,0.27438014583493375,0,VAL,0.15330585560246113,37.821315604940715
Energy,2026-06-30,11.829999923706055,7.290363654128567,33.333333333333336,CAD,0.2349957524006716,0,HWX.TO,0.14201186103215768,38.45931163372689
Technology,2026-07-31,823.030029296875,714.2172019753722,33.333333333333336,USD,0.24876369384636798,0,MU,0.18496285074652996,39.204725258472095
Technology,2026-07-31,6180.0,165.5446342608384,33.333333333333336,TWD,0.12783171521035608,0,7769.TW,0.020226537216828433,34.60575717251717
Healthcare,2026-07-31,48.45000076293945,1.2978378084527755,33.333333333333336,TWD,0.205366369582195,0,3054.TW,0.15170275249496545,39.06538825826478
Consumer Defensive,2026-07-31,323.5,3.7791174262089435,33.333333333333336,GBp,0.08346213292117466,0,APN.L,-0.12434465033930642,29.190214901901676
Technology,2026-08-31,1566.699951171875,1351.8897901420003,33.333333333333336,USD,0.1260420622504852,0,SNDK,0.04254166495901712,34.68855958508007
Industrials,2026-08-31,2270.0,61.94517208828995,33.333333333333336,TWD,0.0638766519823788,0,7750.TW,-0.13656387665198233,28.749280577712117
Basic Materials,2026-08-31,12.34000015258789,7.6615981829248945,33.333333333333336,CAD,0.08022688483602214,0,DSV.TO,0.005672584599566433,33.616132526363245
Healthcare,2026-08-31,50.11000061035156,43.239420642397086,33.333333333333336,USD,0.015366203320392957,0,CDNA,0.0029933687757859317,33.37266644166854
Energy,2026-08-31,93.87865447998047,81.00695631529453,33.333333333333336,USD,0.10408486465879374,0,INSW,0.10408486465879374,36.73629064619416
Healthcare,2026-08-31,1395.0,38.06762778112973,33.333333333333336,TWD,0.007168458781362075,0,6446.TW,-0.1469534050179212,28.40334709405813
Basic Materials,2026-09-30,31.3799991607666,19.537524013271007,33.333333333333336,CAD,0.0,0,CG.TO,0.0,33.333333333333336
Industrials,2026-09-30,810.0,22.079266799521474,33.333333333333336,TWD,0.0,0,3167.TW,0.0,33.333333333333336
Industrials,2026-09-30,4834.0,27.08897142105651,33.333333333333336,JPY,0.0,0,5803.T,0.0,33.333333333333336
Financial Services,2026-09-30,47.5,1.2947718184904569,33.333333333333336,TWD,0.0,0,2851.TW,0.0,33.333333333333336
Financial Services,2026-09-30,52.900001525878906,1.4419669720802142,33.333333333333336,TWD,0.0,0,2855.TW,0.0,33.333333333333336
Consumer Defensive,2026-09-30,52.0099983215332,44.797770315101936,33.333333333333336,USD,0.0,0,COCO,0.0,33.333333333333336
