sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,exit_date,exit_price,exit_reason,return_pct,exit_value_eur
Technology,2025-10-31,23103.552734375,129.72309143261728,16.666666666666668,JPY,0.0,0,6857.T,2025-11-14,19503.453125,stop_loss,-0.15582450243760704,13.934006044867827
Financial Services,2025-10-31,23.6299991607666,20.419154342501084,16.666666666666668,USD,0.31781635614066617,0,HRTG,2025-11-18,29.200000762939453,trailing_stop,0.23571738468026893,20.563115952514977
Energy,2025-10-31,17.309999465942383,14.957916348576886,16.666666666666668,USD,0.00231085596542302,0,FTK,2025-11-17,14.170000076293944,stop_loss,-0.18139800615398183,13.59300167527271
Technology,2025-10-31,187.6199951171875,162.1261859542472,16.666666666666668,USD,0.0,0,CRDO,2025-11-11,158.5,stop_loss,-0.1552073119871853,14.098453019301582
Communication Services,2025-10-31,637.3300170898438,550.729600010878,16.666666666666668,USD,0.021950935714993625,0,APP,2025-11-17,539.27001953125,stop_loss,-0.1538606293900172,14.050263704072014
Energy,2025-10-31,9849.21875,55.30193209398028,16.666666666666668,JPY,0.5044910565558816,0,6269.T,2025-11-18,13761.3837890625,trailing_stop,0.39720561989370995,23.04530764284328
Industrials,2025-10-31,3511.732421875,19.717867259955025,16.666666666666668,JPY,0.01676905317943711,0,5803.T,2025-11-18,2965.149658203125,stop_loss,-0.15564476389691473,13.926673281862007
Basic Materials,2025-10-31,85.01654052734375,52.56045952658397,16.666666666666668,CAD,0.20314623475584592,0,LUG.TO,2025-11-20,92.8896026611328,trailing_stop,0.09260623973821724,18.1781863347864
Technology,2025-10-31,782.863037109375,676.4875899918096,16.666666666666668,USD,0.0,0,UI,2025-11-07,608.8327026367188,stop_loss,-0.22229984840674266,12.987768648074386
Industrials,2025-10-31,305.3259582519531,263.8382601667606,16.666666666666668,USD,0.1912738741265423,0,AGX,2025-11-13,334.1325378417969,trailing_stop,0.09434697185515017,18.208089429490705
Technology,2025-10-31,74.61000061035156,64.47199204671678,16.666666666666668,USD,0.0,0,INOD,2025-11-06,60.900001525878906,stop_loss,-0.18375551497543485,13.69365340977255
Financial Services,2025-10-31,202.0428009033203,174.58922056526532,16.666666666666668,USD,0.010489630110904091,0,HCI,2025-11-19,171.52989196777344,stop_loss,-0.15102200523416642,14.138990794970203
Communication Services,2025-10-31,6756.8193359375,37.93855873972832,16.666666666666668,JPY,0.0,0,9984.T,2025-11-05,5652.111328125,stop_loss,-0.16349527090903393,14.079377694404435
Energy,2025-10-31,39.97999954223633,34.54751630382885,16.666666666666668,USD,0.1573286890331842,0,PARR,2025-11-20,42.38999938964844,trailing_stop,0.060280136943625884,17.720006959191014
Industrials,2025-10-31,59.22999954223633,51.18182587019423,16.666666666666668,USD,0.023636696550716207,0,AMSC,2025-11-06,36.54999923706055,stop_loss,-0.3829140719307772,10.352487493711472
Technology,2025-10-31,239.32000732421875,206.8011993379681,16.666666666666668,USD,0.03200730473379476,0,DAVE,2025-11-17,194.1000061035156,stop_loss,-0.18895203007177486,13.46756604166622
Utilities,2025-10-31,187.51907348632807,162.03897755686236,16.666666666666668,USD,0.025172488150213113,0,VST,2025-12-17,159.30654907226562,stop_loss,-0.15045149215777986,13.945802114890403
Technology,2025-11-30,177.60000610351562,153.105408974786,16.666666666666668,USD,0.06525898614629155,0,CRDO,2025-12-12,143.91000366210938,stop_loss,-0.18969595317338983,13.344494575355696
Healthcare,2025-11-30,2730.0,15.05941039335307,16.666666666666668,JPY,0.0,0,4506.T,2025-12-11,2311.0,stop_loss,-0.1534798534798535,14.031037492123966
Healthcare,2025-11-30,115.11000061035156,99.23402654763125,16.666666666666668,USD,0.6548519197560823,0,NUTX,2025-12-15,175.77999877929688,trailing_stop,0.5270610533164171,25.152248271617058
Energy,2025-11-30,14.289999961853027,12.319122822180322,16.666666666666668,USD,0.1686494616878862,0,FTK,2025-12-15,15.550000190734863,trailing_stop,0.08817356418792088,17.92332506262522
Communication Services,2025-11-30,599.47998046875,516.7996870921719,16.666666666666668,USD,0.2087476124733758,0,APP,2025-12-17,657.1300048828125,trailing_stop,0.09616672164595785,18.03675550896023
Energy,2025-11-30,15417.6650390625,85.04796524926523,16.666666666666668,JPY,0.0,0,6269.T,2025-12-08,13068.3994140625,stop_loss,-0.1523749296049599,14.163649753103362
Industrials,2025-11-30,31.09000015258789,26.802066581088376,16.666666666666668,USD,0.07333543802208986,0,AMSC,2025-12-31,28.780000686645508,momentum_perdu,-0.07430040059842524,15.234685508058947
Communication Services,2025-10-31,208.9499969482422,180.55786665600846,16.666666666666668,USD,0.2391959629457152,0,RDDT,2026-01-15,228.75,trailing_stop,0.09475952783412755,18.130281816791623
Industrials,2025-10-31,835.1672973632812,23.486728095975707,16.666666666666668,TWD,0.33410682637573275,0,2404.TW,2026-01-21,978.560302734375,trailing_stop,0.1716937502507605,18.68865782700137
Basic Materials,2025-10-31,5.860000133514404,3.6228750068264364,16.666666666666668,CAD,1.0085324555623991,0,DSV.TO,2026-01-30,9.579999923706056,trailing_stop,0.6348122364223676,27.301557938065258
Communication Services,2025-10-31,655.3200073242188,566.275109966955,16.666666666666668,USD,0.0,0,SPOT,2026-01-08,553.6799926757812,stop_loss,-0.15509981919131488,13.955865910579321
Basic Materials,2025-10-31,2221.280029296875,25.26047663245113,16.666666666666668,GBp,0.6552654581928639,0,FRES.L,2026-01-08,3438.88525390625,trailing_stop,0.5481547614664308,26.152931489682544
Technology,2025-11-30,145.53225708007812,4.006042075907752,16.666666666666668,TWD,0.6541095969406148,0,2408.TW,2026-01-09,216.80319213867188,trailing_stop,0.48972603386050295,24.528006583345213
Healthcare,2025-11-30,99.59442901611328,11.039553023821881,16.666666666666668,HKD,0.1956521356107277,0,2359.HK,2026-01-30,109.43577575683594,trailing_stop,0.09881422924901195,17.690700954081006
Technology,2025-11-30,20547.033203125,113.3429323705902,16.666666666666668,JPY,0.30546780010534147,0,6857.T,2026-01-30,25470.33203125,trailing_stop,0.23961117789872532,20.4365223903724
Energy,2025-12-31,11777.2939453125,64.11505138429753,16.666666666666668,JPY,0.32773107083620334,0,6269.T,2026-01-16,14053.578125,trailing_stop,0.19327735133871626,19.84269529493329
Healthcare,2025-12-31,2318.0,12.619086336717752,16.666666666666668,JPY,0.255176876617774,0,4506.T,2026-01-19,2388.0,trailing_stop,0.030198446937014678,17.223137280924018
Financial Services,2025-10-31,50.01462173461914,53.920633980200584,16.666666666666668,CHF,0.0,0,SQN.SW,2026-02-05,41.52194213867188,stop_loss,-0.1698039353573435,13.991820553183672
Basic Materials,2025-10-31,6.168106555938721,3.4965797711017284,16.666666666666668,AUD,0.32298132180409245,0,RRL.AX,2026-02-02,7.231242656707764,trailing_stop,0.1723602034315448,20.206810475967135
Financial Services,2025-11-30,29.049999237060547,25.04342264107238,16.666666666666668,USD,0.038554246769292755,0,HRTG,2026-02-17,24.6299991607666,stop_loss,-0.15215146961708448,13.832648097106773
Healthcare,2025-11-30,32.630001068115234,28.12967053317344,16.666666666666668,USD,0.4290530046497687,0,LQDA,2026-02-10,40.540000915527344,trailing_stop,0.24241494295081267,20.177761357625688
Energy,2025-12-31,35.13999938964844,29.913275801339573,16.666666666666668,USD,0.2322140008293765,0,PARR,2026-02-25,38.52999877929688,trailing_stop,0.09647124213232261,18.23115707150984
Communication Services,2026-01-31,473.1099853515625,395.3874755892405,16.666666666666668,USD,0.020904261069629282,0,APP,2026-02-04,387.3399963378906,stop_loss,-0.18128974587153812,13.817915808759196
Healthcare,2026-01-31,2297.0,12.533693750670766,16.666666666666668,JPY,0.38615585546364817,0,4506.T,2026-02-20,2475.5,trailing_stop,0.07771005659555952,18.02645955768035
Healthcare,2026-01-31,148.7899932861328,124.34677275861856,16.666666666666668,USD,0.08374223587674878,0,NUTX,2026-02-04,125.0999984741211,stop_loss,-0.15921766167738394,14.190441008707175
Basic Materials,2026-01-31,9.579999923706056,5.934607914074431,16.666666666666668,CAD,0.15240084026870893,0,DSV.TO,2026-02-12,9.920000076293944,trailing_stop,0.035490621638372355,17.281622226665007
Financial Services,2025-10-31,8002.64404296875,91.00635677583848,16.666666666666668,GBp,0.45295716778176653,0,BGEO.L,2026-03-03,11037.626953125,trailing_stop,0.37924752042705623,23.177763034128187
Utilities,2025-10-31,179.24623107910156,2.0383946066727243,16.666666666666668,GBp,0.18237586001152106,0,CNA.L,2026-03-23,196.5910186767578,trailing_stop,0.0967651453156746,18.537662655713426
Industrials,2025-11-30,2977.5908203125,16.425187599475002,16.666666666666668,JPY,0.5835654545854074,0,5803.T,2026-03-06,4163.65087890625,trailing_stop,0.39832875978213567,23.1041105373186
Financial Services,2025-11-30,176.45022583007812,152.11420642441453,16.666666666666668,USD,0.10239105653640035,0,HCI,2026-03-27,149.77537536621094,stop_loss,-0.15117492957790324,14.226510706409934
Industrials,2025-12-31,312.4154357910156,265.9467631682802,16.666666666666668,USD,0.4807342885462462,0,AGX,2026-03-05,429.5482482910156,trailing_stop,0.37492645714968376,23.135374308769343
Real Estate,2026-01-31,22.75827407836914,13.404093414428546,16.666666666666668,AUD,0.024337217322653926,0,CHC.AX,2026-03-12,18.792142868041992,stop_loss,-0.1742720558101022,14.432651072773448
Basic Materials,2026-01-31,91.95185089111328,56.96223239645786,16.666666666666668,CAD,0.2595023876329796,0,LUG.TO,2026-03-12,100.7869644165039,trailing_stop,0.09608412924556475,18.786295220633484
Communication Services,2026-01-31,4247.072265625,23.174359213892554,16.666666666666668,JPY,0.13261226368716317,0,9984.T,2026-03-09,3536.064453125,stop_loss,-0.16741128194468524,13.931134798031827
Energy,2026-01-31,14845.3291015625,81.00427017279267,16.666666666666668,JPY,0.07533330171388997,0,6269.T,2026-03-04,12168.220703125,stop_loss,-0.180333381639598,13.66573438055955
