bot,n_closed,win_rate,avg_return_closed,n_open,avg_unrealized_open,median_unrealized_open,final_equity_eur,total_return_pct
"Bot #1 (blind, proxy momentum)",5756,0.5927727588603197,0.049297721010614026,1711,0.03296719825748499,0.0,,
"Bot #2 (constrained, proxy momentum+quality)",93,0.5268817204301075,0.06484683318352832,21,0.02475645425148281,0.0029933687757859317,723.7043039220731,0.44740860784414616
"Bot #3 (large, proxy momentum+quality)",157,0.5286624203821656,0.0518622136704348,38,0.01638483172260528,0.0,652.8590676890036,0.3057181353780072
"Bot #25 Delta (constrained+conviction, proxy momentum+quality, valuation gate NOT modeled -- see docstring)",61,0.5409836065573771,0.10284554022850607,15,0.03993451135199374,0.0,529.4200714594392,0.764733571531464
