sector,entry_date,entry_price,peak,ticker,unrealized_return_pct
Utilities,2025-10-31,29.75311851501465,0.42741343900710826,ELE.MC,0.39615620105719507
Financial Services,2025-10-31,47.21671676635742,0.38489085789717037,FHI,0.26162943496462443
Financial Services,2025-10-31,3.666014909744263,0.2454941120410581,MAP.MC,0.2094877201598997
Financial Services,2025-10-31,20.908397674560547,0.2368017506259339,CII,0.15647313971820154
Financial Services,2025-10-31,57.335914611816406,0.1851210085037749,GAM,0.14640193327250506
Financial Services,2025-10-31,5.212806224822998,0.3269244085759968,ISP.MI,0.29373693691584024
Financial Services,2025-10-31,262.7272644042969,0.5000346728273175,SWED-A.ST,0.5000346728273175
Financial Services,2025-10-31,2.7146012783050537,0.3747875764884927,SAB.MC,0.3615259554765413
Financial Services,2025-10-31,14.42950439453125,0.20101144501359913,NCV,0.12062061413712444
Industrials,2025-10-31,61.40888595581055,0.574690624054423,2535.TW,0.46070060630622334
Financial Services,2025-10-31,161.06463623046875,0.24360013308661288,NDA-SE.ST,0.24235841452614593
Financial Services,2025-10-31,52.51652908325195,0.7314548751123437,IGM.TO,0.7078433020435331
Financial Services,2025-10-31,170.2150115966797,0.34946967834136,SEB-A.ST,0.34946967834136
Industrials,2025-10-31,5609.400390625,0.3726957364050929,DPLM.L,0.25771018445947136
Financial Services,2025-10-31,112.56507110595705,0.5570549776269407,TD.TO,0.4899826346916174
Utilities,2025-10-31,16.985469818115234,0.2605733363966851,IBE.MC,0.16687968640619633
Financial Services,2025-10-31,63.99642181396485,0.49914635415555186,POW.TO,0.47461373732600287
Industrials,2025-10-31,2229.2080078125,0.41799239412470013,9934.T,0.3812080295823954
Financial Services,2025-10-31,18.68850326538086,0.5276771409483292,2801.TW,0.5276771409483292
Utilities,2025-10-31,8.658233642578125,0.2693119895810203,APA.AX,0.25545236295129237
Healthcare,2025-11-30,92.13478088378906,0.13559098034247263,IRMD,-0.10761169200143417
Healthcare,2025-11-30,104.45999908447266,0.243825328494518,INCY,0.16283747161892226
Industrials,2025-11-30,95.6539535522461,0.6656917556892072,DAC,0.6656917556892072
Industrials,2025-11-30,42.98873519897461,0.34500350911006494,DHL.DE,0.2910358898236163
Healthcare,2025-11-30,266.8004455566406,0.26916584777587516,LH,0.16768923640640332
Healthcare,2025-11-30,2694.985107421875,0.13692650529380423,7459.T,0.09035852996274274
Utilities,2025-12-31,40.01133346557617,0.08905243160492904,TAEE11.SA,0.017961562747676574
Consumer Defensive,2025-12-31,37.36811065673828,0.1400677186385304,KIMBERA.MX,0.030290248111797924
Consumer Defensive,2025-12-31,5513.67578125,0.294055052033261,2914.T,0.22658644946053874
Industrials,2025-12-31,148.24603271484375,0.2991916382274338,EXPD,0.2991916382274338
Utilities,2025-12-31,2413.700927734375,0.2536764456731433,9503.T,0.242283153453708
Consumer Defensive,2025-12-31,61.76144027709961,0.11619676140001811,L.TO,-0.007795179251693041
Financial Services,2025-12-31,406.84759521484375,0.44877344639218353,SDR.L,0.4391138276012554
Financial Services,2025-12-31,105.48094940185548,0.20379153192566912,CORD.L,0.1660873427617855
Industrials,2025-12-31,15.554640769958496,0.1342621127865633,CMRE,-0.017656533574065825
Consumer Defensive,2025-12-31,40.921852111816406,0.09586342212077503,SAP.TO,-0.037433611704139835
Consumer Defensive,2025-12-31,4292.22802734375,0.12878439102834283,2809.T,0.06471510154788995
Consumer Defensive,2025-12-31,94.1034698486328,0.13959663800141553,WN.TO,0.05012067943698617
Consumer Defensive,2025-12-31,441.707275390625,0.13604646278284793,TSCO.L,0.08347839941013668
Consumer Defensive,2025-12-31,324.8975524902344,0.10619483323835466,SBRY.L,0.044636967238113945
Consumer Defensive,2025-12-31,1894.66650390625,0.14716758623160153,2002.T,0.09623513991398047
Financial Services,2026-01-31,41.12686538696289,0.06257164696826245,BCH,0.01442210166418989
Real Estate,2026-01-31,3.64716100692749,0.08303418472093971,BWP.AX,-0.0184146197806645
Real Estate,2026-01-31,21.53146171569824,0.10257260211041386,NLY,0.017116250986496828
Real Estate,2026-01-31,65.71989440917969,0.09971281761236717,JOE,0.0021318689330138696
Real Estate,2026-01-31,10.54009246826172,0.06070644750566556,AGNC,-0.03701038211060237
Real Estate,2026-01-31,12.674458503723145,0.039971232793531764,DX,-0.012186559758280868
Financial Services,2026-01-31,15.37027359008789,0.03966916714752844,DBRG,0.0344643200615502
Financial Services,2026-01-31,62.080543518066406,0.4922549665289053,GWO.TO,0.4922549665289053
Financial Services,2026-01-31,38.92316436767578,0.2695989620789938,FSBC,0.19234909600396888
Industrials,2026-01-31,272.09814453125,0.22638780221693033,NDSN,0.15572269617070766
Real Estate,2026-01-31,1399.2686767578125,0.10900809740439721,3289.T,-0.07594586981253892
Real Estate,2026-01-31,185.08837890625,0.2652681560487624,SPG,0.10666052099793966
Real Estate,2026-01-31,46.4357795715332,0.24300704657680727,AHR,0.15385167053168525
Real Estate,2026-01-31,127.88581848144533,0.11728855016480466,SPSN.SW,-0.0124002445972351
Real Estate,2026-01-31,1803.077880859375,0.12588365136816426,3003.T,-0.0252778215201952
Financial Services,2026-01-31,129.34762573242188,0.501844300634452,STT,0.4951955461213182
Industrials,2026-01-31,37.41859436035156,0.41867100415330327,CSX,0.30817315828427994
Real Estate,2026-01-31,15.782670974731444,0.08042355793255695,ARR,0.0010979900696888034
Real Estate,2026-01-31,67.91497802734375,0.12920602595983355,WPC,0.01774313640730507
Real Estate,2026-01-31,44.17537689208984,0.13874343605654782,1113.HK,0.07752331327917816
Financial Services,2026-01-31,1470.1312255859375,0.27811719613744224,8601.T,0.27403592781555575
Real Estate,2026-01-31,1004.2438354492188,0.1330409259872547,3231.T,-0.08637726455190686
Real Estate,2026-01-31,48.18375396728516,0.2690999868419821,LXP,0.2626662545615648
Financial Services,2026-01-31,55.06528854370117,0.18804422711825786,USB,0.14119079032368131
Financial Services,2026-01-31,7.051807880401611,0.29089001862433905,CFFN,0.25074304978398043
Utilities,2026-01-31,12.691805839538574,0.146093764030224,EDPR.LS,-0.021415846309110642
Financial Services,2026-01-31,46.81856155395508,0.07288813313229925,BKU,-0.04354176435576507
Real Estate,2026-01-31,17.965839385986328,0.27130158863623666,BNL,0.1366015045320903
Real Estate,2026-01-31,36.73907852172852,0.14428566548460675,STAG,0.010912654428248736
Real Estate,2026-01-31,59.34635925292969,0.10914020254938972,O,0.002588882435323514
Consumer Defensive,2026-01-31,59.63889694213867,0.129074690454682,BIMBOA.MX,-0.07375883004576123
Financial Services,2026-02-28,32.30429458618164,0.11904630603951616,BSAC,0.08932880527165943
Financial Services,2026-02-28,22.42987060546875,0.3214520899831561,BBVA,0.31743957675153944
Financial Services,2026-02-28,89.68869018554688,0.23505368810777028,MCY,0.14105798764783928
Financial Services,2026-02-28,13.861350059509276,0.22318532112061118,BKT.MC,0.2174138830310599
Financial Services,2026-02-28,29.521238327026367,0.2628196136734364,HG,0.18050598311847588
Financial Services,2026-02-28,8.256702423095703,0.410369401855903,A5G.IR,0.4037081099311832
Basic Materials,2026-02-28,12795.326171875,0.07422036885721983,5444.T,-0.039493027773355394
Financial Services,2026-02-28,306.16162109375,0.2523112337903637,AMG,0.16151065597693215
Financial Services,2026-02-28,15.19460391998291,0.16028027144431345,BGR,0.16028027144431345
Utilities,2026-02-28,63.78485870361328,0.03943168330640279,1038.HK,0.033160578627194015
Industrials,2026-02-28,92.10823059082033,0.0670178690793608,DCI,-0.03103121808427378
Financial Services,2026-02-28,110.5805435180664,0.20816919372157328,KBC.BR,0.18510905157874502
Financial Services,2026-02-28,6183.59521484375,0.3894829304762484,8377.T,0.34889165771675823
Utilities,2026-02-28,92.39338684082033,0.043830623245588285,NEE,-0.10913540056279913
Financial Services,2026-02-28,140.96958923339844,0.351859911850118,NTRS,0.34206252192571096
Financial Services,2026-02-28,75.5772705078125,0.33915922610635274,TMP,0.30766831306561304
Financial Services,2026-02-28,1266.7548828125,0.029796701555786953,BEZ.L,0.029796701555786953
Financial Services,2026-02-28,3228.2939453125,0.26816209098446864,8341.T,0.26816209098446864
Financial Services,2026-02-28,110.0,0.20327273282137792,KB,0.2000908591530539
Financial Services,2026-02-28,4290.2060546875,0.22138655654423656,8725.T,0.21369461830645786
Healthcare,2026-02-28,344.3900146484375,0.0,PEN,-0.07741224346857045
Utilities,2026-02-28,21.399999618530277,0.2939252816659317,ENEV3.SA,0.27850472420852346
Financial Services,2026-02-28,17.393165588378906,0.07394845152356178,RVT,0.02224063792763875
Financial Services,2026-02-28,59.05789566040039,0.3454593699272681,CTBI,0.31515011329847886
Communication Services,2026-02-28,5860.3447265625,0.11870552090295727,9401.T,-0.0072256374903286735
Financial Services,2026-02-28,3153.72998046875,0.15704262019845983,5832.T,0.15704262019845983
Financial Services,2026-02-28,20.610979080200195,0.21476077052484022,PFS,0.1304654255577573
Financial Services,2026-02-28,86.30160522460938,0.2350870654199131,QCRH,0.18850627897215322
Financial Services,2026-02-28,40.38810348510742,0.3796142035054737,UBS,0.35138808513700925
Healthcare,2026-02-28,57.570220947265625,0.003991269896382654,1720.TW,-0.029011864014151345
Real Estate,2026-02-28,29.65160751342773,0.10246969281194351,BRX,-0.031081214425695225
Technology,2026-02-28,35.7117805480957,0.100477171227358,RXL.PA,-0.009850529218793036
Financial Services,2026-02-28,59.37457656860352,0.25861955866898456,CFG,0.18704010083336708
Financial Services,2026-02-28,209.06442260742188,0.2291426633752871,PNC,0.16825236186548298
Communication Services,2026-02-28,129.00502014160156,0.10460817605071293,2412.TW,0.10460817605071293
Consumer Defensive,2026-02-28,37.0246467590332,0.23458298959517876,JWEL.TO,0.22891111686025734
Financial Services,2026-02-28,63.17863464355469,0.2993076881275698,WSFS,0.26197730936667885
Real Estate,2026-02-28,44.11954879760742,0.10951561409083355,NNN,-0.005656219805588503
Industrials,2026-02-28,309.42449951171875,0.09671343619855644,FDX,0.008291168691246797
Real Estate,2026-02-28,31.176523208618164,0.23009221450068407,CDP,0.13643205395596603
Financial Services,2026-02-28,40.22921752929688,0.2173645021244377,UBSI,0.173773792301956
Technology,2026-02-28,124.28060913085938,0.0965251188050762,3010.TW,0.009811593921757122
Consumer Defensive,2026-02-28,84.79682922363281,0.1210014134701638,IMKTA,-0.019774636533030354
Energy,2026-03-31,71.8995361328125,0.40237346795676054,TNK,0.40237346795676054
Industrials,2026-03-31,36.13343048095703,0.2841294310633622,GSL,0.2680777630281239
Industrials,2026-03-31,13.780433654785156,0.0729614019041882,ITSA4.SA,0.029720829972279317
Financial Services,2026-03-31,323.8717956542969,0.2420655160817331,BAP,0.16681970757298537
Consumer Cyclical,2026-03-31,571.7905883789062,0.1484799081831687,DDS,0.1377766975295298
Consumer Defensive,2026-03-31,15.20765495300293,0.11147544314440738,ABEV3.SA,0.027114300911642575
Healthcare,2026-03-31,33.02000045776367,0.5808600859866486,2269.HK,0.4881889372625561
Real Estate,2026-03-31,13.906134605407717,0.1325936679683264,MRL.MC,-0.08241933571390714
Financial Services,2026-03-31,24.941680908203125,0.49428583401954507,ING,0.49428583401954507
Industrials,2026-03-31,28.15309333801269,0.037414951929594764,8422.TW,-0.07292601675748545
Consumer Defensive,2026-03-31,117.57000732421876,0.13302711929343114,DG,0.05962400331833506
Industrials,2026-03-31,5.269999980926514,0.5559771990404263,NWH.AX,0.45161292657585417
Industrials,2026-03-31,1952.0,0.058401639344262346,1719.T,-0.03253073770491799
Financial Services,2026-03-31,454.7506713867188,0.23628187396107836,INDU-C.ST,0.16239515155419615
Real Estate,2026-03-31,59.77888488769531,0.05549977550426033,VESTA.MX,-0.04414410712084149
Financial Services,2026-03-31,48.22664260864258,0.25822568238041654,IFS,0.1348498792745796
Industrials,2026-03-31,24.33716583251953,0.10952943662241155,CAAP,0.010388815271600738
Consumer Cyclical,2026-03-31,12673.439453125,0.23999487732787617,NXT.L,0.16542948381372757
