sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,33.333333333333336,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,33.883096330493665
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,33.333333333333336,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,35.19661804110251
Technology,2026-08-21 02:19:35,498.7449951171875,426.72122027580883,33.333333333333336,0.4393455389831691,USD,0.0,0,WDC,-0.11506720114623648,30.05317749532144
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,33.333333333333336,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,40.055280494402545
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,33.333333333333336,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,33.46924893014629
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,33.333333333333336,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,34.06124326558307
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,33.333333333333336,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.2084917509084192,41.04155382050008
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,33.333333333333336,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.02428922803054745,33.13608564636416
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,33.333333333333336,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,34.85075472967509
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,33.333333333333336,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.03830699799179138,32.66002856126174
Consumer Cyclical,2026-08-21 02:19:35,232.5,6.248114242365219,33.333333333333336,0.6744223635918247,TWD,0.017204301075268713,0,2727.TW,-0.02580645161290318,33.18224343937448
Consumer Defensive,2026-08-21 02:19:35,3000.0,16.15474133457877,33.333333333333336,0.540363778928,JPY,0.018000000000000016,0,2503.T,-0.03916666666666668,32.941499069026946
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,226.84257551044055,33.333333333333336,0.3556015121851461,USD,0.0,0,AMZN,-0.02619472408371315,33.07137314935128
Healthcare,2026-08-21 02:19:35,13.890000343322754,11.884145112556801,33.333333333333336,0.4452661773738038,USD,0.0341972221781659,0,BVS,-0.0885457400797447,30.953872076761904
