sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,33.333333333333336,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,35.221766336131786
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,33.333333333333336,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,40.07366146762622
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,33.333333333333336,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,33.46924893014629
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,33.333333333333336,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,34.085580325288824
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,33.333333333333336,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.2084917509084192,41.06038738482721
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,33.333333333333336,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.02428922803054745,33.151291469304
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,33.333333333333336,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,34.86674739734847
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,33.333333333333336,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.03830699799179138,32.67501592629974
Consumer Cyclical,2026-08-21 02:19:35,232.5,6.248114242365219,33.333333333333336,0.6744223635918247,TWD,0.017204301075268713,0,2727.TW,-0.02580645161290318,33.205952445926535
Consumer Defensive,2026-08-21 02:19:35,3000.0,16.15474133457877,33.333333333333336,0.540363778928,JPY,0.018000000000000016,0,2503.T,-0.03916666666666668,32.9526302080897
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,226.84257551044055,33.333333333333336,0.3556015121851461,USD,0.0,0,AMZN,-0.02619472408371315,33.08654927636438
Technology,2026-09-03 04:01:28,448.802490234375,385.9566626234195,33.333333333333336,0.4924713837813814,USD,0.0,0,WDC,-0.016592345080631787,33.24262740971576
Technology,2026-09-14 19:34:55,751.4000244140625,751.4000244140625,33.333333333333336,0.5647178444870284,EUR,0.11551768029373544,0,ASM.AS,0.11551768029373544,37.183922676457854
Industrials,2026-09-17 19:52:02,1280.0,35.01894895871785,33.333333333333336,0.42689815674145,TWD,0.0,0,1590.TW,0.0,33.48139614358106
