sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,exit_date,exit_price,exit_reason,return_pct,exit_value_eur
Consumer Cyclical,2026-08-21 02:19:35,70.58499908447266,60.3918179377737,16.666666666666668,0.5412037074808713,USD,0.031238958130690664,0,GRBK,2026-09-02 16:04:24,71.11499786376953,momentum_perdu,0.007508660284355928,16.94038122456926
Real Estate,2026-08-21 02:19:35,3231.0,17.398656417341336,16.666666666666668,0.5334470943191407,JPY,0.035902197462086116,0,1878.T,2026-09-03 00:44:33,3319.0,momentum_perdu,0.027236149798823828,17.56506279055272
Industrials,2026-08-21 02:19:35,136.3699951171875,116.67680136166435,16.666666666666668,0.4672013788023976,USD,0.0,0,CPA,2026-09-03 04:01:28,128.36500549316406,momentum_perdu,-0.05870051998714576,15.768637270224145
