sector,entry_date,entry_price,entry_valuation_gap,peak,ticker,unrealized_return_pct
Consumer Cyclical,2026-08-21 02:19:35,114.5,0.5904916523747072,0.008733624454148492,9942.TW,0.0
Industrials,2026-08-21 02:19:35,3034.0,0.5833156874995833,0.016150296638101524,1802.T,0.016150296638101524
Industrials,2026-08-21 02:19:35,30.725000381469727,0.6126627198405348,0.06102516092342114,GEO,0.02620017234112959
Technology,2026-08-21 02:19:35,824.5999755859375,0.6232236230170842,0.023526588635025547,ASM.AS,0.016492889914809794
Consumer Defensive,2026-08-21 02:19:35,3000.0,0.540363778928,0.018000000000000016,2503.T,-0.03916666666666668
Real Estate,2026-08-21 02:19:35,93.1999969482422,0.6608111663051868,0.036480704261900865,2548.TW,0.011802640982128798
Energy,2026-08-21 02:19:35,92.08999633789062,0.6808883000790644,0.2084917509084192,DINO,0.18655664011691386
Consumer Cyclical,2026-08-21 02:19:35,232.5,0.6744223635918247,0.017204301075268713,2727.TW,-0.02580645161290318
Healthcare,2026-08-21 02:19:35,26.55500030517578,0.6630943299365046,0.016381075539193102,MD,-0.02428922803054745
Healthcare,2026-08-21 02:19:35,34.4900016784668,0.3966413259722792,0.0171064112460233,AMN,-0.052479016677492885
Consumer Cyclical,2026-08-21 02:19:35,47.5099983215332,0.3955059100139055,0.028836093348399316,YUMC,-0.07977262123186224
Healthcare,2026-08-21 02:19:35,48.7599983215332,0.4020040379008824,0.17945037533227026,TGTX,0.17945037533227026
Consumer Cyclical,2026-08-21 02:19:35,2092.5,0.3562607591137061,0.05902031063321389,7269.T,-0.03082437275985661
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,0.3556015121851461,0.0,AMZN,-0.02619472408371315
Financial Services,2026-08-21 02:19:35,82.81999969482422,0.3490611475338754,0.025597714976984154,UCG.MI,-0.01690414792366146
Consumer Cyclical,2026-08-21 02:19:35,148.1199951171875,0.3604363726690689,0.0,TOL,-0.04067643866527004
Financial Services,2026-08-21 02:19:35,180.6750030517578,0.3730897075762127,0.0,GL,-0.04452745555864568
Technology,2026-08-21 02:19:35,483.0,0.3661143840629577,0.039337474120082705,3044.TW,0.0331262939958592
Industrials,2026-08-21 02:19:35,1464.5,0.4225287671869173,0.08023216114714926,1893.T,0.08023216114714926
Technology,2026-08-21 02:19:35,717.0,0.4661953224589044,0.05299860529986056,2379.TW,0.05299860529986056
Technology,2026-08-21 02:19:35,2400.0,0.5082679886596821,0.03333333333333344,2330.TW,0.03333333333333344
Industrials,2026-08-21 02:19:35,95.61499786376952,0.4455501490409179,0.0,DCI,-0.10442923007306859
Healthcare,2026-08-21 02:19:35,13.890000343322754,0.4452661773738038,0.0341972221781659,BVS,-0.0885457400797447
Technology,2026-08-21 02:19:35,498.7449951171875,0.4393455389831691,0.0,WDC,-0.11506720114623648
Industrials,2026-08-21 02:19:35,39.2400016784668,0.4599628989433972,0.01834855696249793,NDX1.DE,0.004077467904388676
Financial Services,2026-08-21 02:19:35,53.290000915527344,0.4587169403769879,0.0,OFG,-0.009007309701442812
Industrials,2026-08-21 02:19:35,2177.5,0.2720573471902305,0.07623421354764637,8020.T,0.07554535017221586
Financial Services,2026-08-21 02:19:35,177.02999877929688,0.263883669982371,0.0,BPOP,-0.08411003497894043
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,0.316299376786094,0.045807634626208626,LAUR,-0.019421437269130593
Financial Services,2026-08-21 02:19:35,53.93000030517578,0.3077734286029119,0.04561466846935214,UFCS,0.015204889489784046
Financial Services,2026-08-21 02:19:35,223.8800048828125,0.328750841489845,0.03475075312495712,THG,0.031177396709423322
Healthcare,2026-08-21 02:19:35,243.72999572753903,0.3236953567372271,0.030238421635289114,JAZZ,-0.009395615337772112
Financial Services,2026-08-21 02:19:35,367.1000061035156,0.2895035580457412,0.00920731361104754,AMG,-0.05140287334091331
Industrials,2026-08-21 02:19:35,2510.0,0.2866597758144535,0.038645418326693326,2432.T,0.01294820717131473
Consumer Cyclical,2026-08-21 02:19:35,37.76499938964844,0.2822681932336512,0.034820666295752645,TILE,-0.035615020321483115
Healthcare,2026-08-21 03:38:40,2283.0,0.7195175154043669,0.05935173017958828,4503.T,0.04402102496714844
Technology,2026-08-21 03:38:40,496.2099914550781,0.3638710311035587,0.0,AMAT,-0.05989399998487066
Industrials,2026-08-21 03:38:40,340.20001220703125,0.2786961036366369,0.024103413860147027,VOLV-B.ST,-0.010288065474465813
Industrials,2026-08-21 05:14:24,966.010009765625,0.4616074164812178,0.0,GEV,-0.00964794073560371
Industrials,2026-08-21 07:34:26,38.20000076293945,0.2542342968087738,0.03795813439737428,PRG,0.012565432791876052
Healthcare,2026-08-22 03:27:39,78.20999908447266,0.2647321267189175,0.05804885524450398,LIVN,-0.004858678658307358
Technology,2026-08-24 03:40:15,938.0,0.2620442557076403,0.06503198294243062,2357.TW,0.00746268656716409
Healthcare,2026-08-24 04:31:10,2922.0,0.6553331860953489,0.031143052703627605,4507.T,0.01591375770020531
Industrials,2026-08-24 04:31:10,72.80000305175781,0.2940846206704146,0.07692305273860667,2606.TW,0.06456039493433385
Technology,2026-08-24 05:29:20,124.5,0.7444372663982071,0.1405622489959839,2303.TW,0.1405622489959839
