sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,33.333333333333336,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,33.883096330493665
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,33.333333333333336,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,35.22273372788482
Technology,2026-08-21 02:19:35,498.7449951171875,426.72122027580883,33.333333333333336,0.4393455389831691,USD,0.0,0,WDC,-0.11506720114623648,30.063518076378656
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,33.333333333333336,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.2084917509084192,41.05567523957668
Consumer Cyclical,2026-08-21 02:19:35,232.5,6.248114242365219,33.333333333333336,0.6744223635918247,TWD,0.017204301075268713,0,2727.TW,-0.02580645161290318,33.20686447186643
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,33.333333333333336,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,40.06906256036833
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,33.333333333333336,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,34.08651651085627
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,33.333333333333336,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,33.46924893014629
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,33.333333333333336,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.02428922803054745,33.14748698253231
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,33.333333333333336,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,34.86274604254853
Real Estate,2026-08-21 02:19:35,93.1999969482422,2.504620336863256,33.333333333333336,0.6608111663051868,TWD,0.036480704261900865,0,2548.TW,-0.016094421127857084,33.537913759348896
Industrials,2026-08-21 02:19:35,3034.0,16.337828403037328,33.333333333333336,0.5833156874995833,JPY,0.009558338826631596,0,1802.T,-0.0003295978905735186,34.284961577935626
Consumer Defensive,2026-08-21 02:19:35,3000.0,16.15474133457877,33.333333333333336,0.540363778928,JPY,0.018000000000000016,0,2503.T,-0.03916666666666668,32.95299515382392
Healthcare,2026-09-02 16:04:24,2355.5,12.794120723352856,33.333333333333336,0.7310417406512963,JPY,0.026745913818722045,0,4503.T,0.011887072808320909,34.40569214545778
Financial Services,2026-09-03 00:44:33,16.219999313354492,2.7363140472599294,33.333333333333336,0.7269030805487757,BRL,0.09556111035917314,0,B3SA3.SA,0.07953150247455576,36.429214714098364
