sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,33.333333333333336,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,33.883096330493665
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,33.333333333333336,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,35.22273372788482
Technology,2026-08-21 02:19:35,498.7449951171875,426.72122027580883,33.333333333333336,0.4393455389831691,USD,0.0,0,WDC,-0.11506720114623648,30.063518076378656
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,33.333333333333336,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,33.46924893014629
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,33.333333333333336,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,40.06906256036833
Energy,2026-08-21 02:19:35,92.08999633789062,78.79127810248221,33.333333333333336,0.6808883000790644,USD,0.2084917509084192,0,DINO,0.2084917509084192,41.05567523957668
Healthcare,2026-08-21 02:19:35,26.55500030517578,22.72019217353061,33.333333333333336,0.6630943299365046,USD,0.016381075539193102,0,MD,-0.02428922803054745,33.14748698253231
Healthcare,2026-08-21 02:19:35,243.72999572753903,208.5329421104981,33.333333333333336,0.3236953567372271,USD,0.030238421635289114,0,JAZZ,-0.009395615337772112,33.65346257185593
Industrials,2026-08-21 02:19:35,30.725000381469727,26.288002454390202,33.333333333333336,0.6126627198405348,USD,0.06102516092342114,0,GEO,0.02620017234112959,34.86274604254853
Consumer Defensive,2026-08-21 02:19:35,3000.0,16.15474133457877,33.333333333333336,0.540363778928,JPY,0.018000000000000016,0,2503.T,-0.03916666666666668,32.95299515382392
Industrials,2026-08-21 02:19:35,3034.0,16.337828403037328,33.333333333333336,0.5833156874995833,JPY,0.009558338826631596,0,1802.T,-0.0003295978905735186,34.284961577935626
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,33.333333333333336,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.03830699799179138,32.671266097549584
Financial Services,2026-08-21 02:19:35,367.1000061035156,314.08708679059924,33.333333333333336,0.2895035580457412,USD,0.00920731361104754,0,AMG,-0.05140287334091331,32.22636442163217
Financial Services,2026-08-21 02:19:35,53.93000030517578,46.141967869355945,33.333333333333336,0.3077734286029119,USD,0.04561466846935214,0,UFCS,0.015204889489784046,34.489207074183376
Financial Services,2026-08-21 02:19:35,223.8800048828125,191.54948884549825,33.333333333333336,0.328750841489845,USD,0.03475075312495712,0,THG,0.031177396709423322,35.03183557675973
